from_node,to_node,distance,travel_time,link_type
1215,1213,82.90615763036296,12.98192701747649,4
1213,1215,82.90615763036296,12.98192701747649,4
1215,1173,115.5211095329245,18.08896535310061,4
1173,1215,115.5211095329245,18.08896535310061,4
1216,1217,86.25893576035405,13.506924463183648,4
444,1217,0.0,180.0,5
1217,444,0.0,0.0,5
1217,1216,86.25893576035405,13.506924463183648,4
1216,1174,115.5199032260031,18.088776462566276,4
1174,1216,115.5199032260031,18.088776462566276,4
1217,1175,115.82470214944954,18.136503645833276,4
1175,1217,115.82470214944954,18.136503645833276,4
1217,1219,85.03974351080821,13.316016269434714,4
1219,1217,85.03974351080821,13.316016269434714,4
1218,1215,85.65096664268907,10.729380106015025,4
1215,1218,85.65096664268907,10.729380106015025,4
1218,1168,117.95759622535692,18.470484571024492,4
1168,1218,117.95759622535692,18.470484571024492,4
1219,1176,116.12950107289598,18.184230829100276,4
1176,1219,116.12950107289598,18.184230829100276,4
1219,1220,85.34454155033468,13.363743314292398,4
447,1220,0.0,180.0,5
1220,447,0.0,0.0,5
1220,1219,85.34454155033468,13.363743314292398,4
1220,1180,116.12919627290572,18.184183101749962,4
1180,1220,116.12919627290572,18.184183101749962,4
1220,1221,85.34399726899208,13.363658087562943,4
1221,1220,85.34399726899208,13.363658087562943,4
1221,1222,85.34454155033468,13.363743314292398,4
449,1222,0.0,180.0,5
1222,449,0.0,0.0,5
1222,1221,85.34454155033468,13.363743314292398,4
1221,1184,115.82560048646077,18.136644312652848,4
1184,1221,115.82560048646077,18.136644312652848,4
1222,1185,115.82439734945928,18.13645591848296,4
1185,1222,115.82439734945928,18.13645591848296,4
1222,1223,146.30431282842198,22.90917786768872,4
450,1223,0.0,180.0,5
1223,450,0.0,0.0,5
1223,1222,146.30431282842198,22.90917786768872,4
1223,1193,56.38799819558406,8.829559807854087,4
1193,1223,56.38799819558406,8.829559807854087,4
1223,1224,85.9541376598676,13.459197408780495,4
451,1224,0.0,180.0,5
1224,451,0.0,0.0,5
1224,1223,85.9541376598676,13.459197408780495,4
1224,1194,56.388820332597746,8.829688542836085,4
1194,1224,56.388820332597746,8.829688542836085,4
1224,1225,85.95359724948489,13.45911278818839,4
1225,1224,85.95359724948489,13.45911278818839,4
1225,1226,6.095999804928006,0.5454554321454262,4
1226,1225,6.095999804928006,0.5454554321454262,4
1226,1196,47.53090019629119,14.885328063912828,4
1196,1226,47.53090019629119,14.885328063912828,4
1226,1227,43.58746433840115,3.900101699085723,4
1227,1226,43.58746433840115,3.900101699085723,4
1227,1228,24.081128265931895,2.154721562527748,4
1228,1227,24.081128265931895,2.154721562527748,4
