Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
5.0,0.0,0.5,2.0,1.0,1.0,-6888.654,2374.9983,2956.0,0.78554344,807.0,0.21445654,675.0,0.17937815,680.0,5.0,0.0013287271,10.0,122.0,0.03242094,795.0,5.0,0.0013287271,3157.5552,4121.099,50.0,340.0,390.0,310.75552,310.75552,5.5604396,5.5604396,9.983557,10.056429,3.4157114,321.47116,6.169095,5.2159247,2.027439,3.0512316,1220.1232,0.3057746,0.5,5.0,0.5693431,0.41276154,1610.1232,4778.8506,1210.0,538.8357,450.0,232.53772,51.35208,3990.2698,724.91437,1106.9727,1.527039,1532.749,9.666669,0.0063067526,6247.933,127.44942,198.1361,2287.0103,4872.728,59.950127,0.6553873,30.435919
5.0,0.0,0.5,2.0,1.0,0.0,-6876.965,2370.73,2953.0,0.7847462,810.0,0.21525379,680.0,0.18070689,690.0,5.0,0.0013287271,15.0,115.0,0.030560723,775.0,10.0,0.0026574542,3157.5552,4114.4097,50.0,345.0,395.0,207.17033,207.17033,5.4629126,5.4629126,9.7545595,9.894914,3.3546448,229.06273,6.0472493,5.362026,2.027439,3.0759351,1214.5875,0.3057746,0.5,3.3333333,0.5683453,0.41130632,1609.5875,4775.763,1183.0,536.4414,660.0,233.60382,50.28971,3972.1663,702.98236,1123.639,1.5983887,1532.749,13.566393,0.008851021,6207.8975,123.160194,198.3521,2296.1162,4889.0405,59.52286,0.6771273,29.593891
5.0,0.0,0.5,2.0,4.0,1.0,-6875.1113,2354.7634,2929.0,0.7783683,834.0,0.22163168,707.0,0.187882,713.0,3.0,0.0007972362,9.0,118.0,0.03135796,812.0,6.0,0.0015944724,3157.5552,4119.056,45.0,356.5,401.5,345.83945,345.83945,5.2770777,5.2770777,9.522315,9.602111,3.2304122,439.594,5.8670874,5.238742,2.0307012,3.054293,1203.2456,0.3057746,0.5,5.0,0.5607542,0.41080424,1604.7456,4792.4834,1222.0,522.9407,450.0,228.77545,51.601574,3935.0737,718.2176,1164.7295,1.6216944,1532.749,7.0805225,0.0046194927,6186.0405,127.98286,197.86827,2279.6145,4857.55,60.68472,0.6748499,29.633108
5.0,0.0,2.6,2.0,4.0,1.0,-6491.42,1930.9857,3328.0,0.8844007,435.0,0.11559925,267.0,0.070954025,269.0,6.0,0.0015944724,9.0,160.0,0.042519268,354.0,2.0,0.00053149083,3157.5552,4078.265,45.0,699.39996,744.39996,345.83945,389.0694,12.560836,12.560836,23.350431,23.605164,7.9147577,470.43326,14.973637,5.781028,2.0307012,3.0660057,1414.044,0.3057746,2.6,5.625,2.706909,0.424893,2158.4438,4627.7124,402.0,482.13486,450.0,448.39767,44.092438,4624.465,584.47473,426.90692,0.73041123,1532.749,6.6163583,0.0043166615,6741.6885,118.925186,198.31369,2297.587,5104.432,48.748375,0.60740244,29.60732
5.0,0.0,3.0,2.0,1.0,0.0,-6351.3315,1926.9937,3329.0,0.8846665,434.0,0.11533351,278.0,0.07387722,281.0,7.0,0.0018602179,10.0,146.0,0.03879883,341.0,3.0,0.0007972362,3157.5552,4081.7766,45.0,843.0,888.0,311.25552,311.25552,11.525895,11.525895,21.825882,22.053234,7.4103603,353.55545,14.244992,5.4342923,2.0307012,2.9836142,1407.1365,0.3057746,3.0,4.5,3.0833333,0.42269045,2295.1365,4645.428,385.0,439.69925,540.0,483.7713,45.82389,4601.875,595.98865,437.0606,0.7333371,1532.749,8.803584,0.005743657,6730.613,124.47951,198.44682,2360.6428,5325.871,51.008045,0.6142747,28.942453
5.0,0.8,3.0,2.0,1.0,0.0,-6309.018,1892.4402,3373.0,0.89635926,390.0,0.10364071,211.0,0.056072284,220.0,5.0,0.0013287271,14.0,165.0,0.043847993,293.0,9.0,0.0023917088,3157.5552,4050.8376,40.0,859.3743,899.3743,222.68251,222.68251,14.506651,14.506651,26.961617,28.040081,10.299197,244.43243,19.555014,6.4532757,2.0339632,3.1120327,1436.4949,0.3057746,3.9062471,2.857143,3.9972193,0.4258805,2335.8691,4560.035,280.0,397.35025,482.14285,616.11383,50.144817,4697.888,494.54932,309.87494,0.6265805,1532.749,12.754261,0.008321168,6725.1865,137.83348,198.24838,2440.8171,5773.189,43.70408,0.5849486,28.16133
5.0,3.1,1.1,2.0,1.0,1.0,-6245.0063,1833.6484,3406.0,0.9051289,357.0,0.09487111,213.0,0.056603774,216.0,6.0,0.0015944724,9.0,135.0,0.03587563,266.0,3.0,0.0007972362,3157.5552,4046.8718,45.0,914.4203,959.4203,345.83945,345.83945,14.5020895,14.5020895,27.755585,28.13066,11.31968,301.43057,21.755655,6.5049806,2.0307012,3.1003425,1454.0588,0.3057746,4.2334275,5.0,4.321713,0.42691097,2413.479,4505.2456,272.0,403.2757,450.0,562.4834,41.56127,4755.329,481.54663,276.72614,0.5746612,1532.749,10.325943,0.0067368783,6769.6245,114.029564,197.9162,2562.6519,5791.292,42.02082,0.5483977,28.729053
5.0,1.4,3.0,2.0,1.0,0.0,-6180.907,1821.6362,3391.0,0.9011427,372.0,0.09885729,213.0,0.056603774,223.0,3.0,0.0007972362,13.0,146.0,0.03879883,259.0,10.0,0.0026574542,3157.5552,4054.0417,20.0,1010.6897,1030.6897,241.35039,241.35039,13.647319,13.647319,26.190285,27.349148,10.022139,211.4492,19.406223,6.0257816,2.0470116,3.0331213,1443.6571,0.3057746,4.532241,1.5384616,4.560574,0.425732,2474.347,4521.987,252.0,334.55743,450.0,605.0306,43.528587,4721.3115,505.05518,303.66293,0.6012471,1532.749,14.83834,0.009680867,6759.1157,120.00979,198.38972,2526.5679,5827.679,44.3785,0.5738244,28.397795
5.0,2.2,3.0,2.0,1.0,1.0,-6145.6865,1763.7543,3418.0,0.9083178,345.0,0.091682166,183.0,0.04863141,185.0,3.0,0.0007972362,5.0,157.0,0.04172203,240.0,2.0,0.00053149083,3157.5552,4037.4397,25.0,1024.3081,1049.3081,626.51105,626.51105,16.287197,16.287197,32.34572,32.689823,11.240973,746.2049,22.573938,6.6866093,2.0437496,3.098607,1455.9193,0.3057746,5.536801,5.0,5.5814266,0.42595652,2505.2275,4446.149,197.0,312.373,450.0,677.18195,45.145462,4761.4136,450.62173,268.04898,0.59484255,1532.749,4.1979823,0.0027388583,6744.784,125.44762,198.52943,2870.995,6057.8955,39.154774,0.5960057,28.560808
5.0,1.8,3.0,2.0,1.0,1.0,-6125.9727,1722.8545,3392.0,0.90140843,371.0,0.09859155,206.0,0.054743554,208.0,5.0,0.0013287271,7.0,158.0,0.041987777,265.0,2.0,0.00053149083,3157.5552,4046.9229,35.0,1043.5055,1078.5055,446.0793,446.0793,14.439507,14.439507,28.492895,28.760435,10.48986,320.71396,20.692183,6.234852,2.0372255,3.040995,1448.1398,0.3057746,5.0168533,5.0,5.063406,0.42692798,2526.6453,4520.184,241.0,340.00565,450.0,625.3121,46.029915,4735.971,481.7143,286.31625,0.5943694,1532.749,9.736262,0.006352157,6750.4346,127.50912,198.28763,2553.7334,5845.852,41.961308,0.57273316,28.617096
4.2,2.1,3.0,2.0,1.0,0.0,-6099.9277,1637.3567,3409.0,0.9059261,354.0,0.09407388,200.0,0.05314908,206.0,4.0,0.0010629817,10.0,144.0,0.03826734,247.0,6.0,0.0015944724,3157.5552,4047.1992,25.199999,1079.6267,1104.8267,313.2355,313.2355,14.405692,14.405692,28.240406,29.047274,10.646965,224.36525,20.841223,6.148877,2.0436192,3.0267048,1453.493,0.3057746,5.2409062,2.52,5.2610793,0.4263693,2558.3196,4520.067,230.0,353.93927,495.0,606.1706,41.59004,4753.4785,482.62024,278.72473,0.57752395,1532.749,13.960963,0.0091084475,6768.8477,114.65468,198.52011,2423.9236,5711.0483,42.692753,0.55000836,28.017202
5.0,1.1,3.0,2.0,4.0,0.0,-6059.1455,1629.6244,3442.0,0.91469574,321.0,0.085304275,160.0,0.042519268,166.0,6.0,0.0015944724,13.0,149.0,0.039596066,231.0,6.0,0.0015944724,3157.5552,4020.486,40.0,1078.896,1118.896,239.81194,259.79626,17.720423,17.720423,33.84997,35.22759,12.442456,186.24374,23.934559,7.4463744,2.0339632,3.1430597,1465.8564,0.3057746,6.4993734,3.3333333,6.505209,0.42587346,2584.7524,4435.229,162.0,249.01212,450.0,604.7122,38.80237,4793.9116,395.03656,236.41556,0.59846497,1532.749,16.739113,0.010920975,6721.6973,108.330864,199.61337,3191.6272,6109.036,34.234497,0.5895065,28.662064
5.0,2.1,3.0,2.0,2.0614793,1.0,-6036.301,1599.9333,3466.0,0.9210736,297.0,0.07892639,159.0,0.04225352,160.0,4.0,0.0010629817,5.0,133.0,0.03534414,207.0,1.0,0.00026574542,3157.5552,4021.1396,25.0,1117.394,1142.394,626.51105,626.51105,18.148409,18.148409,36.58364,36.80671,12.785023,494.83316,25.856775,7.310924,2.0437496,3.1277337,1472.7812,0.3057746,6.983713,5.0,6.9658175,0.42492244,2615.1753,4402.292,154.0,258.82864,450.0,675.219,38.825092,4816.5586,397.179,227.12088,0.5718351,1532.749,6.330528,0.004130179,6746.4863,108.240906,198.45996,3182.182,6154.5474,34.519344,0.56928056,28.517366
1.0,4.9,3.0,2.0,1.0,1.0,-5975.508,1439.8145,3418.0,0.9083178,345.0,0.091682166,137.0,0.03640712,141.0,72.0,0.01913367,83.0,132.0,0.035078395,256.0,4.0,0.0010629817,3157.5552,4004.0105,82.0,1104.0577,1186.0577,37.054882,40.46783,20.567041,20.567041,26.676374,28.054028,15.7203,36.811974,22.295046,8.503813,2.0065615,3.1890347,1448.7056,0.3057746,7.830197,1.0789474,5.568346,0.42384598,2634.7634,4525.9033,130.0,245.35988,444.5783,655.29254,46.59858,4737.822,341.01794,184.47185,0.5409447,1532.749,83.54768,0.05450839,6611.589,130.17976,208.96445,3353.789,6164.7095,29.999594,0.53317386,28.22263
1.0,5.0,2.1,2.0,4.0,1.0,-5948.677,951.63104,3446.0,0.9157587,317.0,0.08424129,100.0,0.02657454,114.0,54.0,0.014350252,68.0,153.0,0.040659048,248.0,10.0,0.0026574542,3157.5552,3970.184,73.0,1106.0624,1179.0624,45.361103,48.196175,25.123877,26.037472,32.68504,36.27242,25.008154,43.248928,32.00821,12.446636,2.0124333,3.3744445,1479.3701,0.3057746,10.055112,1.140625,7.1894045,0.42930067,2658.4324,4487.3965,89.0,217.45146,436.7647,639.0359,44.022472,4838.1064,230.11212,114.52752,0.4977031,1532.749,71.32096,0.046531405,6600.968,123.193115,256.39642,3764.9678,6237.404,21.132544,0.4829721,27.634607
