Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
2.25,4.0,0.25,6,-13952.556566877618,2034.9421300158688,3402.0,0.9040659048631411,361.0,0.09593409513685888,199.0,0.0528833377624236,229.0,10.0,0.0026574541589157587,32.0,130.0,0.03454690406590486,227.0,22.0,0.005846399149614669,3157.5551018271553,11814.477865893032,72.0,947.47640084257,1019.47640084257,96.4235969320986,96.4235969320986,47.45415486921599,49.171952330545075,53.45807113746214,60.400677778690984,48.82803500217565,78.6623968518995,53.29840314511446,28.952631331696963,2.013085732809678,7.3123301466629975,1459.8188364370185,0.30577459999999945,4.2872235332242985,2.25,4.413317752565238,0.4291060659720807,2479.2952372795885,4447.929151236236,168.0,180.2876336384512,450.0,649.429592391295,40.950143742451104,4774.166449525307,375.33726522305454,222.55660021064242,0.5929509825739845,1532.7489791111002,39.22528711700001,0.025591461910317664,6682.252693859462,114.59546606590447,282.4962283759534,4252.487409748904,6338.514471781701,12.050228722294344,0.563948744528055,27.30918027711896
2.75,1.75,2.75,3,-8166.75943701261,1935.3185350313665,3422.0,0.9093808131809726,341.0,0.09061918681902738,183.0,0.048631411108158384,185.0,9.0,0.0023917087430241827,11.0,147.0,0.03906457613606165,230.0,2.0,0.0005314908317831517,3157.5551018271553,5969.121099371367,30.25,929.6667641859128,959.9167641859128,284.30046380246864,284.30046380246864,27.240293703705156,27.240293703705156,41.667139984758215,42.09669812893098,20.95199297569271,215.45919169728475,32.021676663070245,12.903117754477513,2.040324374341322,4.246200354634831,1459.5520270086524,0.305774599999999,5.0252257523562855,2.75,4.948024557659345,0.4265201715396413,2419.4687911945653,4445.760815988523,168.0,225.72449414757682,450.0,711.4136128176197,45.45142526334792,4773.293880553379,390.560981545465,240.52386524909286,0.6158420236894392,1532.7489791111002,14.514605189000001,0.00946965575368876,6696.603841209944,126.8285750886976,203.9562898146411,3592.299882131411,6242.907941699285,23.42411851052793,0.6070476329282953,28.304189485033866
4.25,2.5,0.75,8,-17886.416969854123,2391.8978367559353,3361.0,0.8931703428115865,402.0,0.1068296571884135,264.0,0.07015678979537603,268.0,3.0,0.0007972362476747276,7.0,131.0,0.03481264948179644,234.0,4.0,0.0010629816635663034,3157.5551018271553,15748.761153010777,29.75,990.1492849838108,1019.8992849838108,446.8293002610222,446.8293002610222,55.06944726875734,55.06944726875734,65.041516254015,66.00153863414805,46.754816068577355,536.0149005543417,55.63513107856878,30.25908665431055,2.0406505856171497,8.852512439465286,1445.9704724378817,0.30577459999999906,3.694586884267951,4.25,3.7634659962502246,0.43022031313236586,2465.8697574216926,4516.358548935165,232.0,180.67164179104478,450.0,566.2205403485293,36.80433512265441,4728.876997755491,487.7414852812331,315.6597139935244,0.6471865189230604,1532.7489791111002,5.835295060999998,0.003807078093364061,6749.367462147825,102.99377611840029,375.0502089547915,4613.239830898211,6368.206253163088,11.521883268031091,0.6344853654012048,27.560662697982373
0.75,0.5,2.25,4,-10252.808940083158,2250.7808211562333,3291.0,0.8745681636991762,472.0,0.1254318363008238,291.0,0.07733191602444858,293.0,44.0,0.011692798299229338,48.0,135.0,0.03587563114536274,312.0,2.0,0.0005314908317831517,3157.5551018271553,8000.639678207842,36.0,869.38583995184,905.38583995184,65.0323979547324,67.85989351798163,24.338750301215022,24.338750301215022,30.06688838734064,30.42376540084023,16.968199808015573,60.94748656969879,21.74560416006441,10.840489977336272,2.0365729446692993,4.680399833389358,1392.2128918666926,0.30577459999999945,2.9671871670711263,0.782608695652174,2.6866048663259345,0.4230364302238507,2297.5987318185325,4645.576900172601,306.0,299.76005497186065,459.375,511.0741948788005,44.29309688949604,4553.069129570263,657.8350105175131,420.27167990367974,0.6388709527227133,1532.7489791111002,51.217126046000004,0.03341520806342522,6743.653119198876,122.36326764618649,198.47482722899986,3138.6928330847077,6154.968309376404,29.39230262296688,0.6396797451751925,28.152778513144042
0.0,3.25,3.0,3,-8162.795231627929,1629.61145155977,3280.0,0.8716449641243689,483.0,0.12835503587563116,131.0,0.03481264948179644,140.0,229.0,0.060855700239170876,274.0,114.0,0.03029497741163965,380.0,9.0,0.0023917087430241827,3157.5551018271553,5942.100362821046,0.0,936.8602330202715,936.8602330202715,11.523923729296188,13.26703824297124,35.75171521286268,35.75171521286268,19.71689669475345,22.121396291674603,31.472783902905757,12.150150585721654,19.48571444637005,16.5753770433616,2.06006015652892,4.449074997919302,1394.4175998819187,0.3057745999999994,6.6918588072876535,0.0,2.5389166206511424,0.4251273170371703,2331.2778329021903,4455.842721053029,117.0,198.70474408995963,448.35766423357666,478.96846337917333,50.5577822455794,4560.279368796236,301.9684026919534,159.0339178523912,0.5266574795066431,1532.7489791111002,259.87785744300004,0.1695501748718914,6394.996750599289,141.44196784805843,236.3824241737499,3971.942824530397,6304.950446329432,18.493795609866257,0.5194445988721517,27.496168006532915
5.0,1.0,0.25,7,-16296.93855004317,2767.694251325993,3108.0,0.8259367525910178,655.0,0.17406324740898219,543.0,0.14429976082912568,544.0,1.0,0.00026574541589157585,2.0,110.0,0.029231995748073347,410.0,1.0,0.00026574541589157585,3157.5551018271553,13974.793985496894,10.0,825.4105372808775,835.4105372808775,1573.7775509135777,1573.7775509135777,24.171660750397088,24.171660750397088,29.84787280227687,29.902639541363616,19.07337172431226,1327.0894642230023,23.55790008695884,12.348017915326325,2.0535359310123584,6.273730309299479,1332.1157872493895,0.3057745999999999,1.517298781766319,5.0,1.5328633711575734,0.42860868315617423,2167.526324530267,4826.610508842836,679.0,326.75955409621065,450.0,344.8949473636977,39.279702338643354,4356.528590829291,1064.8983131045702,689.4105372808777,0.6473956515819735,1532.7489791111002,2.3717731069999997,0.0015473982624183392,6954.175883044962,106.10146594731256,197.97587941183326,2897.4108385687045,6066.748801098404,28.217225045236766,0.6544660388534198,27.68610869761402
3.25,4.75,1.5,2,-6051.6670456547545,1481.4823639407173,3459.0,0.9192133935689609,304.0,0.08078660643103906,136.0,0.03614137656125432,146.0,16.0,0.004251926654265214,26.0,142.0,0.03773584905660377,221.0,10.0,0.0026574541589157587,3157.5551018271553,4000.0548463735613,84.5,1021.4429025459624,1105.9429025459624,118.19442699335212,118.19442699335212,20.401451670052047,20.401451670052047,35.1841107305509,37.35596941762194,17.631667858599712,94.04435079953988,30.01640211883763,9.079786495054533,2.0049304509139767,3.2521897407644293,1478.9318161718882,0.305774599999999,6.996184264013441,3.25,6.826808040407175,0.4275605134928847,2584.8747187178506,4423.468609993139,146.0,312.88828490562287,450.0,644.9235775627967,39.59114184482724,4836.673210174727,328.04867663462716,168.935347904413,0.5149703685364022,1532.7489791111002,32.676658148,0.021318988688513396,6697.470865920454,110.034443737706,198.03244172684268,3063.704827621648,6094.02406031267,29.16957488159123,0.4985564391185434,28.07499162984454
1.75,2.25,1.5,5,-11963.884979678056,2058.9185191020765,3341.0,0.887855434493755,422.0,0.11214456550624502,238.0,0.06324740898219505,244.0,23.0,0.006112144565506245,29.0,155.0,0.04119053946319426,256.0,6.0,0.0015944724953494552,3157.5551018271553,9906.58944965184,50.75,1049.5095718009404,1100.2595718009404,107.13121040783294,107.13121040783294,36.29950769611025,36.29950769611025,43.823754504315225,44.808557976322305,29.15603606348369,94.34166754689004,35.53135433880572,17.251541331493485,2.026949712032371,5.847002413199437,1430.3359881118542,0.3057745999999996,4.3012687368891,1.75,4.120822366295657,0.4281161293360833,2530.5955599127947,4560.284757286864,216.0,198.11068448843352,450.0,656.9714986352537,46.71797323628471,4677.746248746155,513.4080316453749,303.78203191152926,0.5916970775427213,1532.7489791111002,32.931420257999996,0.021485201234384892,6723.90325950263,130.64305603896318,240.41119464491453,3793.571869176452,6280.295338271318,18.84079405882361,0.5901188381465561,27.6264170072173
1.25,3.0,2.0,7,-15848.489892251067,1914.4183132181595,3388.0,0.900345469040659,375.0,0.09965453095934095,164.0,0.04358224820621844,180.0,46.0,0.01222428913101249,65.0,149.0,0.039596066967844804,262.0,16.0,0.004251926654265214,3157.5551018271553,13754.898408289702,81.25,982.7136178657904,1063.9636178657904,47.327770797340854,49.61782422301864,70.95658216902173,70.95658216902173,64.68771384592273,70.12606147013747,61.53158253161871,42.79693201590873,56.712613462033644,37.13608647255061,2.007050824206859,8.444969417377441,1448.3391453050174,0.3057745999999997,5.459520099254391,1.310483870967742,4.707803618875179,0.4274908929471716,2512.302763170808,4520.77249886374,139.0,180.0,450.0,608.1060768828842,44.256608928698796,4736.623464816957,343.92920750721964,207.57120595526334,0.6035288699663754,1532.7489791111002,71.881440022,0.04689707251587067,6613.301651435277,123.8483253826338,287.6291684823321,4357.022400593408,6353.801229941298,9.177203572461154,0.5924081776346132,27.69668715348012
3.75,0.25,1.25,4,-10528.11978279795,2617.3487031071054,3193.0,0.8485251129418018,570.0,0.15147488705819825,430.0,0.11427052883337763,431.0,4.0,0.0010629816635663034,5.0,135.0,0.03587563114536274,411.0,1.0,0.00026574541589157585,3157.5551018271553,8084.106753237899,18.75,694.7920722671041,713.5420722671041,627.761020365431,627.761020365431,17.144581626382355,17.144581626382355,24.147063722013648,24.20257421332862,11.838657635105958,904.4617225752264,16.77417387880745,7.932725822285901,2.0478272336853673,4.272348424392949,1352.209042022257,0.3057745999999993,1.6120465713853924,3.75,1.6403266029128831,0.42349171375579614,2065.7511142893613,4757.5252781911895,644.0,466.0806639303695,450.0,397.31830633370583,45.36050663976475,4422.241226126239,931.4975515996699,624.1682890684134,0.670069704420074,1532.7489791111002,3.470357035,0.002264139191932519,6886.487756837009,121.25490238894272,198.4252518808762,2606.2959647978837,5827.108452636055,41.44649195544318,0.6446604740789622,28.301268719106396
