Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
2.25,1.5,3,2,1.702347668,0.814880949,0.24858578,0.194936231,-6426.447604,1878.579778,3356,0.891841616,407,0.108158384,225,0.059792719,257,7,0.001860218,32,150,0.039861812,316,25,0.006643635,3157.555102,4048.80189,47.28983469,732.6195534,779.9093881,97.1957896,97.1957896,12.90343322,13.26472935,22.23684292,25.0056327,11.78826323,78.73359488,20.03157653,6.797195989,2.029207202,3.18042719,1437.660738,0.3057746,2.930478214,1.477807334,3.03466688,0.428385202,2217.570126,4566.084679,349,439.8989683,506.25,524.6048777,46.04865038,4701.700986,487.8750506,281.3122063,0.576607076,1532.748979,39.50366132,0.02577308,6722.325016,125.8561735,197.7907255,2375.971467,5579.570965,44.20232176,0.506995427,27.98446576
3.5,4,1.5,6,3.478462397,0.396073326,0.598621102,0.561132626,-13899.42706,1460.320357,3474,0.923199575,289,0.076800425,142,0.037735849,155,14,0.003720436,22,125,0.033218177,189,8,0.002125963,3157.555102,11786.53443,79.56756961,965.0949037,1044.662473,139.9085242,139.9085242,69.8157389,72.1429302,78.52783651,84.75260404,63.03728253,136.8155085,71.58577576,38.1413377,2.00814848,7.651895736,1485.362553,0.3057746,6.433966025,3.61670771,6.36989313,0.427565502,2530.025027,4413.247773,125,183.0601525,450,681.0884037,35.7571412,4857.704183,283.7194546,171.6672911,0.605059993,1532.748979,22.49735843,0.014677784,6674.172616,100.0632937,441.1376977,4470.01428,6340.353088,8.815177677,0.604878688,27.83239812
2.5,2,0,6,3.758378901,0.042770665,0.112615106,0.038665254,-14204.79794,2123.550648,3137,0.83364337,626,0.16635663,420,0.111613075,539,11,0.0029232,84,123,0.032686686,487,72,0.01913367,3157.555102,11982.35153,76.21292356,858.8957689,935.1086925,36.68264498,37.12460456,20.63720921,22.60864993,22.80063875,28.24015495,16.98027448,37.71000502,19.27923632,12.01570957,2.010337126,5.777850662,1314.862076,0.3057746,1.745723108,0.918227995,1.859063007,0.419146342,2249.970768,4549.455992,630,369.5153897,460.7142857,359.3709713,48.6149064,4300.102349,925.7427286,655.0810339,0.707627523,1532.748979,81.71152924,0.053310444,6758.594057,129.1273473,236.224537,3332.106948,5894.237573,27.84635197,0.659551779,28.53671173
1.25,5,1.75,3,1.046160893,0.7462465,0.727664778,0.717357834,-8101.966655,1673.807655,3427,0.91070954,336,0.08929046,136,0.036141377,160,42,0.011161307,64,138,0.036672867,234,20,0.005314908,3157.555102,5939.383768,84.72733989,910.2448748,994.9722147,48.01293378,49.5617381,31.43211808,32.23806983,36.16949399,40.91902351,33.07294497,45.7185505,36.94907677,17.16069263,2.004782129,4.437463033,1467.132963,0.3057746,5.834903044,1.366569998,5.025112196,0.428109998,2462.105178,4466.837395,115,186.2348622,442.96875,643.8031477,41.8472046,4798.086443,293.0615333,152.0620222,0.518874042,1532.748979,67.21183696,0.043850518,6623.896956,117.105814,250.6343395,4085.947036,6316.880889,18.80154098,0.504966194,26.75438393
0.5,1,0.75,4,2.286551265,0.925894994,0.352363922,0.947530139,-10341.56193,2249.265009,3188,0.847196386,575,0.152803614,318,0.084507042,408,59,0.01567898,138,123,0.032686686,387,75,0.019930906,3157.555102,8025.462394,81.08331406,760.3722486,841.4555627,22.29327382,22.95874468,17.80659349,18.48623447,18.94058962,22.8795618,17.23314072,19.24851467,17.78716915,9.828035849,2.007159574,4.551804024,1350.341909,0.3057746,1.934789437,0.605099359,1.861627351,0.423570235,2191.797472,4736.851034,398,323.3360585,479.3478261,411.8243414,44.2711167,4416.134988,739.2209651,421.576674,0.57029859,1532.748979,159.8290486,0.104276076,6688.104932,121.1550804,197.0432057,2770.688017,5959.722959,34.62148511,0.554775249,27.56234504
0,0,3,2,1,0,1,1,-6460.170213,1862.155097,3208,0.852511294,555,0.147488706,247,0.065639118,258,202,0.053680574,241,95,0.025245815,455,11,0.0029232,3157.555102,4076.615111,0,774,774,13.10188839,14.82420236,12.80083377,12.80083377,12.94623289,14.04384829,8.450196401,14.00671431,10.48278859,5.703348941,2.060060157,3.05906079,1344.868797,0.3057746,3,0,1.682608696,0.41922344,2118.868797,4567.7139,326,431.406049,450,349.6138453,44.18730545,4398.235814,579.0659393,390.832941,0.67493685,1532.748979,225.4315347,0.147076617,6510.050733,120.4226585,198.5062399,2397.089701,5461.212326,50.00214361,0.593838314,28.66517053
5,0,0,5,1,0,0.385074591,1,-13353.55131,2964.184802,2665,0.708211533,1098,0.291788467,1010,0.26840287,1016,3,0.000797236,9,79,0.020993888,997,6,0.001594472,3157.555102,10240.99621,45,0,45,345.8394558,345.8394558,10.07972068,10.07972068,13.02785494,13.10456459,6.391717826,335.173866,8.286331415,6.361564036,2.030701142,4.249241913,1084.202972,0.3057746,0,5,0.044160942,0.406830384,1129.202972,4276.111808,1613,526.4856681,450,169.4170882,46.91912138,3545.758779,1609.823646,1602.229086,0.995282365,1532.748979,9.286389595,0.00605865,6688.331404,109.5561292,197.8001284,2274.112688,4859.706865,56.22215889,0.707923209,29.0538581
5,0,0,2,1,1,0.537546614,1,-7223.774385,2692.580717,2734,0.726547967,1029,0.273452033,938,0.2492692,945,3,0.000797236,10,81,0.021525379,1048,7,0.001860218,3157.555102,4116.219283,50,0,50,310.7555102,310.7555102,4.355787601,4.355787601,7.564161659,7.620015174,2.701633105,321.6365493,4.711364711,5.806359476,2.027439029,3.222504468,1110.098102,0.3057746,0,5,0.052742616,0.406034419,1160.098102,4295.383003,1616,542.5252083,450,170.5810996,49.65805344,3630.445768,708.9156812,1523.604103,2.149203556,1532.748979,9.661697679,0.006303509,5872.110428,112.3495044,198.4972922,2301.140376,4888.341461,60.49351937,0.648476154,29.3807753
5,0,0,6,1,0,0,1,-15385.09127,3097.399831,2606,0.692532554,1157,0.307467446,1075,0.285676322,1078,4,0.001062982,7,75,0.019930906,995,3,0.000797236,3157.555102,12262.53617,35,0,35,446.0793003,446.0793003,11.37526546,11.37526546,14.17980762,14.21912317,7.223531966,453.9946583,9.026374196,6.648592116,2.037225367,4.555670619,1058.190585,0.3057746,0,5,0.032347505,0.406059319,1093.190585,4285.794083,1624,506.7211896,450,161.4321748,44.61805943,3460.688314,1844.380878,1697.581768,0.920407378,1532.748979,6.877955599,0.004487333,6837.818171,102.4851408,197.8408632,2276.706496,4912.338693,54.14555378,0.739558498,28.93391679
4.5,5,0,2,1,0.06336995,1,0,-6432.683908,1874.440895,3224,0.856763221,539,0.143236779,320,0.085038533,444,4,0.001062982,91,136,0.036141377,476,79,0.020993888,3157.555102,4056.614173,31.5,749.9853668,781.4853668,34.35225387,37.66331448,7.447362175,8.28729024,12.02370824,15.96199481,7.257204835,30.7164855,11.54040916,6.439530783,2.039508846,3.143663488,1367.520874,0.3057746,1.879662574,0.379518072,1.939169645,0.424169006,2149.006241,4626.790813,583,453.537483,702.1978022,367.6764756,48.61500066,4472.316779,513.4890906,455.6339363,0.887329341,1532.748979,101.7712492,0.066397858,6518.554849,128.4523873,195.811101,2491.347645,5474.666562,47.32710367,0.505251507,28.03345618
