rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num
9560,73,266,56331,C,0,84.60222541460422,0.6109812982038124,84.60222541460422,0.6109812982038124,0,0,0,0,0,0,0,0,0.18682256206575149,0,0,0,"[0.9571397138533114, 0.0428602861466886]",0.41772430355494317
13669,80,267,69971,C,0,101.84358063778663,0.6298156269836285,101.84358063778663,0.6298156269836285,0,0,0,0,0,0,0,0,0.19258162141466822,0,0,0,"[0.9512397179604216, 0.04876028203957844]",0.12571382808430542
12058,154,450,63901,C,0,182.01072679273798,1.011171541541784,182.01072679273798,1.011171541541784,0,0,0,0,0,0,0,0,0.30919057364632235,0,0,0,"[0.9997894036019231, 0.00021059639807693902]",0.3693698486176472
9194,61,270,55412,C,0,191.7495442296366,1.476180133814001,191.7495442296366,1.476180133814001,0,0,0,0,0,0,0,0,0.4513783899449227,0,0,0,"[0.9998654423615643, 0.00013455763843574277]",0.20968574640440096
5781,384,224,43470,C,0,111.91170192199746,0.9450959306876373,111.91170192199746,0.9450959306876373,0,0,0,0,0,0,0,0,0.28898633016763997,0,0,0,"[0.9998638817672911, 0.00013611823270894525]",0.5650764750858236
8996,777,311,54995,C,0,170.0520698045631,1.353359427958215,170.0520698045631,1.353359427958215,0,0,0,0,0,0,0,0,0.413822937740152,0,0,0,"[0.9999965326407879, 3.467359211998085e-06]",0.6715050711453849
12453,613,941,65091,C,0,357.57875002035126,2.5237437912001073,357.57875002035126,2.5237437912001073,0,0,0,0,0,0,0,0,0.7716967482566964,0,0,0,"[0.9999993652947523, 6.347052477320113e-07]",0.4922450295825642
12082,673,727,63984,C,0,122.04403675429498,0.6855721687322166,122.04403675429498,0.6855721687322166,0,0,0,0,0,0,0,0,0.20963055566522598,0,0,0,"[0.9944741528799709, 0.005525847120029209]",0.8128542123620688
12276,1004,860,64534,C,0,150.29516841477795,1.0255511355984148,150.29516841477795,1.0255511355984148,0,0,0,0,0,0,0,0,0.3135874882671511,0,0,0,"[0.957386261006013, 0.042613738993987106]",0.7159316929035284
3917,631,812,34773,C,0,105.77989781201038,0.7637714873866205,105.77989781201038,0.7637714873866205,0,0,0,0,0,0,0,0,0.23354192104704896,0,0,0,"[0.9773392011656624, 0.02266079883433763]",0.9699667307977549
