rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
3600,932,354,33047,C,0,273.8415014235718,2.5200160098684474,273.8415014235718,2.5200160098684474,0,0,0,0,0,0,0,0,0.7705568874111203,0,3.9202646996390307,6.421718829265232e-05,"[0.9999364277619703, 6.35722380296339e-05]",0.620114168527013,44421,2297.899524
7135,480,427,48858,C,0,416.6287302779114,2.774429619867627,416.6287302779114,2.774429619867627,0,0,0,0,0,0,0,0,0.8483501072431755,0,0.0,0.0,"[0.9999882675604118, 1.17324395881181e-05]",0.24082969886199268,19305,2579.001984
11601,287,61,62481,C,0,89.95755790505595,0.7413316560524252,89.95755790505595,0.7413316560524252,0,0,0,0,0,0,0,0,0.22668039059676792,0,0.0,0.0,"[0.9884445241637877, 0.011555475836212348]",0.8990830476278248,33129,2297.899524
7742,233,116,51001,C,0,190.11545031377733,1.5744717767646184,190.11545031377733,1.5744717767646184,0,0,0,0,0,0,0,0,0.48143347775149054,0,2.939912061765626,0.0013926186406790677,"[0.9986391593842536, 0.001360840615746449]",0.36951947076436054,89724,473.69047620000003
12105,113,1021,64032,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,2.1970693253270257,0.06549845700941687,"[0.9553974491192507, 0.04460255088074933]",0.3042474552324813,123102,1020.0
14206,1020,80,73932,C,0,99.9361969458826,0.8590243379781977,99.9361969458826,0.8590243379781977,0,0,0,0,0,0,0,0,0.26266782333554817,0,0.0,0.0,"[0.95571813041971, 0.044281869580289936]",0.4791267694401764,3623,1020.0
13691,12,267,70121,C,0,140.28443675783356,1.4275180100188087,140.28443675783356,1.4275180100188087,0,0,0,0,0,0,0,0,0.43649874850629716,0,4.218073105146693,0.02119644060864414,"[0.983295756262458, 0.016704243737542004]",0.7680974013295391,33623,1124.085714
1432,142,1026,27714,C,0,76.72498048859687,0.6960634674251104,76.72498048859687,0.6960634674251104,0,0,0,0,0,0,0,0,0.21283852832652614,0,2.6287774835769975,0.019027804015944033,"[0.9792235590195801, 0.02077644098041983]",0.3925252970180152,35640,3774.5595240000002
5650,1085,646,42902,C,0,76.43523362037735,0.46094006027119633,76.43523362037735,0.46094006027119633,0,0,0,0,0,0,0,0,0.14094376255340094,0,1.0167652110991363,0.043261643191906805,"[0.9342255585484348, 0.06577444145156511]",0.38805905859939815,114587,146.047619
14048,954,169,72844,C,0,289.0340626531233,2.1648303960281976,289.0340626531233,2.1648303960281976,0,0,0,0,0,0,0,0,0.6619501484133637,0,0.0,0.0,"[0.9999878240298433, 1.217597015675035e-05]",0.9140635111671503,47289,129.3182981
11909,130,224,63402,C,0,25.764525695470823,0.25048865163829337,25.764525695470823,0.25048865163829337,0,0,0,0,0,0,0,0,0.07659306725923849,0,1.7550325779066815,0.41493458678142153,"[0.7520828685452766, 0.24791713145472347]",0.8470618732410882,88207,129.3182981
11104,130,1079,60890,C,0,89.93344237237979,0.7559435887131868,89.93344237237979,0.7559435887131868,0,0,0,0,0,0,0,0,0.23114834846133916,0,2.9023156386217734,0.46862036007028657,"[0.8350899237328422, 0.1649100762671578]",0.836187391964265,88747,3221.52619
8172,42,595,52476,C,0,313.5701151943513,2.6195584922307824,313.5701151943513,2.6195584922307824,0,0,0,0,0,0,0,0,0.8009944501384705,0,0.6818956332313437,9.375561244958004e-05,"[0.9997600346574278, 0.0002399653425721528]",0.1283140448184058,73334,293.7829365
9815,786,804,57004,C,0,27.27613683546909,0.15153421898388,27.27613683546909,0.15153421898388,0,0,0,0,0,0,0,0,0.04633531519610831,0,0.0,0.0,"[0.7250422696670857, 0.2749577303329143]",0.5377693073302133,44654,1020.0
11229,262,212,61287,C,0,76.33341678057846,0.4240748887567688,76.33341678057846,0.4240748887567688,0,0,0,0,0,0,0,0,0.12967132947964546,0,0.9601087870955207,0.11011805872716679,"[0.8801160898700338, 0.11988391012996623]",0.2832314090553595,53268,1020.0
