rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
3600,932,354,33047,C,0,273.8415014235718,2.5200160098684474,273.8415014235718,2.5200160098684474,0,0,0,0,0,0,0,0,0.7705568874111203,0,13.978032457609707,0.966871117923884,"[0.3910306661365265, 0.6089693338634734]",0.7807067542610892,44421,2297.899524
7135,480,427,48858,T,1,416.6287302779114,2.774429619867627,0,0,0,4.124977584761292,0,0,172.6770885750526,0.13422834069083675,180.0,0,0.8483501072431755,2361.9333182144574,10.999149977492001,0.1958172488546129,"[0.5450270986977457, 0.4549729013022543]",0.7579544029403025,19305,2579.001984
11601,287,61,62481,C,0,89.95755790505595,0.7413316560524252,89.95755790505595,0.7413316560524252,0,0,0,0,0,0,0,0,0.22668039059676792,0,2.3735339283363874,0.06997944807488893,"[0.8746439493036003, 0.1253560506963996]",0.420571580830845,33129,2297.899524
7742,233,116,51001,T,1,708.6685398566643,1.5744717767646184,0,0,318.0059232378323,1.5744717767646184,0,0,0,0,390.66261661883203,0,0.5,304.62712167237976,8.611311575487077,0.3637648802511869,"[0.6861013709067104, 0.3138986290932896]",0.25891675029296335,89724,473.69047620000003
12105,113,1021,64032,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,3.5016829203352864,0.2500522337972388,"[0.8504708830201456, 0.1495291169798544]",0.5112747213686085,123102,1020.0
14206,1020,80,73932,C,0,99.9361969458826,0.8590243379781977,99.9361969458826,0.8590243379781977,0,0,0,0,0,0,0,0,0.26266782333554817,0,0.0,0.0,"[0.95571813041971, 0.044281869580289936]",0.6819826466421016,3623,1020.0
13691,12,267,70121,C,0,140.28443675783356,1.4275180100188087,140.28443675783356,1.4275180100188087,0,0,0,0,0,0,0,0,0.43649874850629716,0,7.932100508881751,0.6903413646669794,"[0.5841585343485658, 0.41584146565143415]",0.528525167000351,33623,1124.085714
1432,142,1026,27714,C,0,76.72498048859687,0.6960634674251104,76.72498048859687,0.6960634674251104,0,0,0,0,0,0,0,0,0.21283852832652614,0,4.778766247439581,0.1624073481398609,"[0.8931369595708372, 0.10686304042916284]",0.30331272607892745,35640,3774.5595240000002
5650,1085,646,42902,T,1,76.43523362037735,0.46094006027119633,0,0,0,0.41740526959561075,0,0,56.00502000467389,0.04353479067558567,180.0,0,0.14094376255340094,-73.13862164894442,1.8100494265388059,0.1207061803060932,"[0.8397366073620779, 0.16026339263792214]",0.4765969541523558,114587,146.047619
14048,954,169,72844,C,0,289.0340626531233,2.1648303960281976,289.0340626531233,2.1648303960281976,0,0,0,0,0,0,0,0,0.6619501484133637,0,0.0,0.0,"[0.9999878240298433, 1.217597015675035e-05]",0.08720051211067958,47289,129.3182981
