test_scen,dscrptn,study_area,repositioning,microtrasnit,hdwy (min),vir_stop (%),flt_sz,op_periods,tt_agents,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),tot_sub ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_mob_lgsm_inc_with_micro,tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph),"cnvrg (iter, sm_sq_per_diff)"
0,FRT_only_scen,lemon_grove,False,non_micro,15,0,0,0,741,711,0.9595141700404858,30,0.04048582995951417,0,0.0,0,2,0.002699055330634278,2,28,0.037786774628879895,28,0,0,3157.5551018271553,0,7.6561808586120605,0,7.6561808586120605,3149.8989209685433,1574.9494604842716,1574.9494604842716,0,0,1574.9494604842716,1574.9494604842716,0,1860.2834852764945,1860.2834852764945,0,2.0550650914772035,2.0550650914772035,301.5449415785733,0.3057746000000002,0,3.8280904293060303,3.8280904293060303,0.4241138418826628,309.20112243718535,0,839.7616670231346,0,0,450.0,1043.0635469495926,8.11271647627461,986.1673977451794,0,0,0,1532.7489791111002,1.693235975,0.0011047053353654636,2518.9163768562794,22.70274144838898,107.6036111005248,429.0744232861659,1337.5459915820604,0,0,0,0
0,FRT_only_scen,lemon_grove,False,non_micro,15,0,0,0,741,711,0.9595141700404858,30,0.04048582995951417,0,0.0,0,2,0.002699055330634278,2,28,0.037786774628879895,28,0,0,3157.5551018271553,0,7.6561808586120605,0,7.6561808586120605,3149.8989209685433,1574.9494604842716,1574.9494604842716,0,0,1574.9494604842716,1574.9494604842716,0,1860.2834852764945,1860.2834852764945,0,2.0550650914772035,2.0550650914772035,301.5449415785733,0.3057746000000002,0,3.8280904293060303,3.8280904293060303,0.4241138418826628,309.20112243718535,0,839.7616670231346,0,0,450.0,1043.0635469495926,8.11271647627461,986.1673977451794,0,0,0,1532.7489791111002,1.693235975,0.0011047053353654636,2518.9163768562794,22.70274144838898,107.6036111005248,429.0744232861659,1337.5459915820604,0,0,0,0
10,Ritun BO (time-based+intrmdl_trfr+Micro_start+dist_based_fr),lemon_grove,True,micro,15,75,7,"['AM', 'MD', 'PM']",741,682,0.9203778677462888,59,0.0796221322537112,32,0.043184885290148446,32,0,0.0,0,27,0.03643724696356275,40,0,0.0,3157.5551018271553,13669.448302945644,0,218.00101817432355,218.00101817432355,16609.002386598477,-999,999,420.35772764910377,420.35772764910377,519.0313245812024,519.0313245812024,330.7923391217504,999,408.44160733259326,210.95369777618498,2.06006015652892,10.403293272822737,289.3872632663039,0.3057746000000001,6.812531817947611,0,6.812531817947611,0.4243215003904749,507.3882814406274,373.33441321633984,875.3556300073783,29,180.0,0,729.3028647202087,8.103365163557875,946.4071354072698,63.76492769063887,40.6643252999291,0.6377224404176483,1532.7489791111002,0,0.0,2542.921042209009,22.6765726015629,507.51961452705586,4998.631189249215,6391.074021521158,1.6924818463550533,0.6600202303280652,27.603432603762737,"[(1, 0.10099985520864693), (2, 0.0), (3, 0.0)]"
