rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
3600,932,354,33047,C,0,273.8415014235718,2.5200160098684474,273.8415014235718,2.5200160098684474,0,0,0,0,0,0,0,0,0.7705568874111203,0,6.105688004775287,0.0011068418845590054,"[0.9988829684104206, 0.0011170315895794151]",0.6372122316220964,44421,2297.899524
7135,480,427,48858,C,0,416.6287302779114,2.774429619867627,416.6287302779114,2.774429619867627,0,0,0,0,0,0,0,0,0.8483501072431755,0,3.094129615335861,9.101739024512637e-05,"[0.9996415167019257, 0.0003584832980743677]",0.699153974539614,19305,2579.001984
11601,287,61,62481,C,0,89.95755790505595,0.7413316560524252,89.95755790505595,0.7413316560524252,0,0,0,0,0,0,0,0,0.22668039059676792,0,0.0,0.0,"[0.9884445241637877, 0.011555475836212348]",0.6246281596425673,33129,2297.899524
7742,233,116,51001,C,0,190.11545031377733,1.5744717767646184,190.11545031377733,1.5744717767646184,0,0,0,0,0,0,0,0,0.48143347775149054,0,6.995234592149665,0.11060954134639274,"[0.8873610001642596, 0.11263899983574038]",0.6789642070031914,89724,473.69047620000003
12105,113,1021,64032,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,2.2055661074100548,0.08056308939949129,"[0.945601441001217, 0.05439855899878295]",0.6897838955004277,123102,1020.0
14206,1020,80,73932,C,0,99.9361969458826,0.8590243379781977,99.9361969458826,0.8590243379781977,0,0,0,0,0,0,0,0,0.26266782333554817,0,0.0,0.0,"[0.95571813041971, 0.044281869580289936]",0.1286287572263357,3623,1020.0
13691,12,267,70121,C,0,140.28443675783356,1.4275180100188087,140.28443675783356,1.4275180100188087,0,0,0,0,0,0,0,0,0.43649874850629716,0,4.841878776695664,0.04846961089377718,"[0.962888564360899, 0.037111435639101]",0.7610056089076043,33623,1124.085714
1432,142,1026,27714,C,0,76.72498048859687,0.6960634674251104,76.72498048859687,0.6960634674251104,0,0,0,0,0,0,0,0,0.21283852832652614,0,2.9313446195481587,0.026180318410929625,"[0.9733471433764131, 0.026652856623586893]",0.9779678515500972,35640,3774.5595240000002
5650,1085,646,42902,C,0,76.43523362037735,0.46094006027119633,76.43523362037735,0.46094006027119633,0,0,0,0,0,0,0,0,0.14094376255340094,0,1.3635279881892584,0.07042681016030523,"[0.8921447695268214, 0.10785523047317869]",0.9503643461949365,114587,146.047619
14048,954,169,72844,C,0,289.0340626531233,2.1648303960281976,289.0340626531233,2.1648303960281976,0,0,0,0,0,0,0,0,0.6619501484133637,0,0.0,0.0,"[0.9999830929144367, 1.6907085563394087e-05]",0.963960506990975,47289,129.3182981
