rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num
0,742,539,18126,C,0,146.8779082626436,1.15848196467969,146.8779082626436,1.15848196467969,0,0,0,0,0,0,0,0,0.35423435935714637,0,0,0,"[0.9803472995235102, 0.01965270047648984]",0.1232093675240673
1,431,310,18389,C,0,70.13612525556377,0.5262722593032871,70.13612525556377,0.5262722593032871,0,0,0,0,0,0,0,0,0.1609206895795589,0,0,0,"[0.9877905656232896, 0.01220943437671043]",0.7134755973289146
2,585,229,18587,C,0,85.4027795592621,0.7567405326836282,85.4027795592621,0.7567405326836282,0,0,0,0,0,0,0,0,0.23139203368512332,0,0,0,"[0.9707440736595737, 0.02925592634042624]",0.2802324933236753
3,458,522,18669,T,0,173.24574512126807,0.1346703786314305,0,0,0,0,0,0,173.24574512126807,0.1346703786314305,0,0,0,0,0,0,"[0.6812747321883382, 0.3187252678116618]",0.045585781670775094
4,570,813,18673,C,0,132.42005098460015,1.287418228189526,132.42005098460015,1.287418228189526,0,0,0,0,0,0,0,0,0.39365979375736093,0,0,0,"[0.9990970119475916, 0.0009029880524084562]",0.9372363914655473
5,467,177,18889,C,0,229.80732525428226,1.66006795578491,229.80732525428226,1.66006795578491,0,0,0,0,0,0,0,0,0.5076066151529486,0,0,0,"[0.9863538525319545, 0.013646147468045558]",0.5764657765883281
6,644,130,18980,T,0,1386.368970159694,1.6484851829587641,0,0,0,0,1386.368970159694,1.6484851829587641,814.5305444796941,0.633164968958764,0,450.0,1.100000023841858,0,0,0,"[0.993111124943264, 0.0068888750567358895]",0.004564272085446963
7,1021,113,19251,C,0,99.56272110697557,0.8268325896420644,99.56272110697557,0.8268325896420644,0,0,0,0,0,0,0,0,0.25282440436476633,0,0,0,"[0.9986340213054603, 0.0013659786945396882]",0.6440810836142337
8,658,627,19374,C,0,132.4405194958932,1.0804658278932802,132.4405194958932,1.0804658278932802,0,0,0,0,0,0,0,0,0.33037900633773665,0,0,0,"[0.9901037733309729, 0.009896226669027208]",0.849359923635502
9,475,75,19509,C,0,182.1306501986916,1.370052153068866,182.1306501986916,1.370052153068866,0,0,0,0,0,0,0,0,0.41892714908377127,0,0,0,"[0.9989009203776821, 0.0010990796223179578]",0.5410827678755374
10,927,724,19620,C,0,164.3785859825423,1.1858962397867896,164.3785859825423,1.1858962397867896,0,0,0,0,0,0,0,0,0.36261694836230973,0,0,0,"[0.997166142726811, 0.0028338572731889233]",0.4223581448534727
11,820,251,20326,C,0,206.03209518950456,1.579386084136191,206.03209518950456,1.579386084136191,0,0,0,0,0,0,0,0,0.4829361481223101,0,0,0,"[0.999333081995834, 0.0006669180041659238]",0.7141222343845343
