from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
1141,1140,283.9992063,21.17632368,1,936,19.0,31.0,37.0,0.0,87.0
1141,1119,147.9995864,11.03554896,1,936,19.0,25.0,27.0,0.0,71.0
1119,1141,147.9995864,11.03554896,1,936,19.0,33.0,38.0,0.0,90.0
1110,1127,337.9990553,25.20280776,1,936,7.0,13.0,28.0,5.0,53.0
1127,1110,337.9990553,25.20280776,1,936,14.0,21.0,18.0,3.0,56.0
1127,1132,333.9990665,24.90454968,1,936,8.0,13.0,27.0,5.0,53.0
1132,1127,333.9990665,24.90454968,1,936,13.0,18.0,15.0,3.0,49.0
1132,1126,170.9995221,12.75053292,1,936,10.0,12.0,29.0,5.0,56.0
1126,1132,170.9995221,12.75053292,1,936,14.0,20.0,15.0,4.0,53.0
1126,1133,210.9994103,15.73311372,1,936,10.0,12.0,24.0,4.0,50.0
1133,1126,210.9994103,15.73311372,1,936,13.0,20.0,12.0,3.0,48.0
1133,1134,357.9989994,26.69409816,1,936,9.0,9.0,20.0,2.0,40.0
1134,1133,357.9989994,26.69409816,1,936,11.0,14.0,8.0,3.0,36.0
1134,1128,197.9994466,14.76377496,1,936,5.0,6.0,19.0,1.0,31.0
1128,1134,197.9994466,14.76377496,1,936,8.0,8.0,4.0,3.0,23.0
1128,1129,116.999673,8.72404884,1,936,3.0,5.0,18.0,1.0,27.0
1129,1128,116.999673,8.72404884,1,936,8.0,8.0,4.0,2.0,22.0
1129,1167,125.9996478,9.39512952,1,936,0.0,0.0,8.0,0.0,8.0
1167,1129,125.9996478,9.39512952,1,936,1.0,1.0,1.0,0.0,3.0
1164,1162,1485.995847,110.8028767,1,520,1.0,0.0,3.0,0.0,4.0
1162,1164,1485.995847,110.8028767,1,520,6.0,0.0,4.0,0.0,10.0
1163,1165,1489.995836,111.1011348,1,520,0.0,1.0,0.0,0.0,1.0
1165,1163,1489.995836,111.1011348,1,520,0.0,2.0,0.0,0.0,2.0
