test_scen,dscrptn,study_area,repositioning,microtrasnit,hdwy (min),vir_stop (%),flt_sz,op_periods,tt_agents,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),tot_sub ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_mob_lgsm_inc_with_micro,tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph),"cnvrg (iter, sm_sq_per_diff)"
0,FRT_only_scen,downtown_sd,False,non_micro,15,0,0,0,45000,37685,0.8374444444444444,7315,0.16255555555555556,0,0.0,0,1184,0.028177777777777777,1268,6131,0.13624444444444445,7039,0,0,8669.895678820769,0,3170.0,0,3170.0,5499.895678820769,4.337457159953288,4.64518216116619,0,0,4.337457159953288,4.64518216116619,0,5.343282311038428,5.343282311038428,0,1.5488016269107185,1.5488016269107185,10241.135666738803,0.2996305149888035,0,2.677364864864865,2.677364864864865,0.2717562867649941,13411.135666738803,0,56474.98001921814,0,0,420.1892744479495,758.5236812734079,1483.1244979120884,34179.21458073618,0,0,0,3551.0652773467245,1029.3103299930083,0.2898595913061011,37730.279858082904,4150.396739531132,2148.594959440795,11272.04676971992,37722.26229217381,0,0,0,0
2,Time-based fare,downtown_sd,True,micro,15,75,10,"['AM', 'MD', 'PM']",45000,36691,0.8153555555555555,8309,0.18464444444444444,2013,0.04473333333333333,2083,666,0.0148,768,5572,0.12382222222222222,7818,58,0.001288888888888889,8669.895678820769,20136.352641189038,1810.0,2776.271171875074,4586.271171875074,24219.977148134734,8.932155831797877,9.4749940315204,8.334172572882364,8.38246328793528,8.495256803975705,8.849096510096723,12.37778094865872,10.330489698402781,11.719929976959287,8.32058281120241,1.931785293439136,4.296251404620641,10214.780627387692,0.30577460000000095,1.3405461959802385,2.5,1.6756562557088324,0.2784001697252103,14801.051799262767,4068.1160130796766,57757.37512005955,3060,746.0015261437144,440.625,647.0895542900477,1405.2628153998867,33406.24311956474,2086.402102259139,1402.5196876016082,0.672219264964779,3551.0652773467245,664.043610622001,0.18699842406675196,39043.7104991706,3878.0190131470085,2299.9505792276054,12537.920453297009,42463.939047476444,49.55306715943885,0.7051454932352661,24.83249515812645,"[(1, 1542.0392189666902), (2, 479.6743400601473), (3, 122.87832235527264), (4, 20.44260020996877), (5, 0.5734138169115802), (6, 0.0), (7, 0.0)]"
3,FRT accessibility-based fare,downtown_sd,True,micro,15,75,10,"['AM', 'MD', 'PM']",45000,36569,0.8126444444444444,8431,0.18735555555555555,2132,0.047377777777777776,2194,631,0.014022222222222222,718,5614,0.12475555555555555,7858,54,0.0012,8669.895678820769,20168.61358139275,1712.5,2975.4358664648144,4687.935866464814,24150.573393748706,9.68996612649132,10.156782012877034,7.836452923850473,7.865131617075909,8.293466137963154,8.573153494408487,11.438220796753086,11.33013474873283,11.406872035148227,7.842974401043005,1.9592418430615777,4.205042690528664,10190.008242472853,0.30577460000000084,1.361132601310528,2.5,1.664158987030463,0.2786515420840836,14877.944108937669,3981.4278752173705,57724.02054604017,3189,697.5702303698212,443.7325905292479,645.1636799630813,1408.248943652748,33325.227937418036,2192.1756766975404,1503.1339244481524,0.6856813258290445,3551.0652773467245,614.0611592990003,0.17292308401545717,39068.4688914623,3885.8655943486415,2299.9505792276054,12525.286900042389,42310.906464251784,51.84739158922738,0.7053343528578576,24.77956598657749,"[(1, 1568.124697722007), (2, 565.6268386520793), (3, 119.73488475294059), (4, 0.9778012979433749), (5, 0.28456866872708564), (6, 0.0), (7, 0.0)]"
