Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
5.0,0.0,2.5,2.0,-6476.2075,1928.6746,3335.0,0.886261,428.0,0.113739036,287.0,0.07626893,290.0,5.0,0.0013287271,8.0,133.0,0.03534414,345.0,3.0,0.0007972362,3157.5552,4083.6526,40.0,725.0,765.0,389.6944,389.6944,11.581561,11.581561,21.73224,21.953247,7.285702,419.00952,13.825271,5.577862,2.0339632,3.0335107,1403.243,0.3057746,2.5,5.0,2.5932202,0.4207625,2168.243,4594.217,440.0,496.83994,450.0,458.9344,43.981213,4589.1416,602.13983,460.9923,0.76559013,1532.749,7.440296,0.004854217,6724.031,118.80558,198.4034,2309.2566,5135.6567,51.02485,0.6056985,29.182499
2.5,2.0,0.5,2.0,-6449.015,1910.3855,3368.0,0.89503056,395.0,0.10496944,232.0,0.061652936,242.0,18.0,0.0047834176,29.0,135.0,0.03587563,323.0,10.0,0.0026574542,3157.5552,4055.1467,72.5,691.18677,763.68677,106.38121,110.18054,13.9006605,13.9006605,23.797104,24.803904,11.799502,82.60405,20.000612,6.613146,2.0127594,3.1590726,1440.1929,0.3057746,2.8561437,2.5892856,2.9372568,0.4276107,2203.8796,4550.0205,341.0,469.18576,465.51724,478.5771,42.939,4709.982,508.6777,285.09338,0.56045973,1532.749,37.347504,0.024366355,6751.4087,116.06822,197.84186,2326.8345,5446.162,45.084858,0.5322831,28.445723
5.0,1.0,1.75,2.0,-6406.2964,1856.0913,3373.0,0.89635926,390.0,0.10364071,242.0,0.064310394,244.0,5.0,0.0013287271,7.0,141.0,0.037470102,300.0,2.0,0.00053149083,3157.5552,4061.1223,35.0,777.38116,812.38116,446.0793,446.0793,13.457955,13.457955,25.523092,25.728098,9.371911,431.76105,17.914032,6.2160296,2.0372255,3.1083152,1434.3033,0.3057746,3.1859884,5.0,3.262575,0.42523074,2246.6846,4557.6855,342.0,445.92032,450.0,499.8024,41.6502,4690.7207,528.2699,350.38116,0.6632617,1532.749,7.232137,0.0047184094,6751.7397,113.26266,198.12752,2293.845,5263.2183,45.779545,0.6002107,28.698599
3.5,0.75,3.0,2.0,-6346.589,1824.9612,3388.0,0.90034544,375.0,0.09965453,202.0,0.053680573,204.0,8.0,0.0021259633,10.0,163.0,0.043316502,278.0,2.0,0.00053149083,3157.5552,4040.8628,35.0,816.829,851.829,312.25552,312.25552,15.804087,15.804087,29.656958,29.936739,11.805093,360.13092,22.523531,6.98077,2.0372255,3.1818953,1454.5299,0.3057746,4.0040636,3.5,4.018061,0.42931816,2306.359,4523.7925,257.0,396.12616,450.0,570.40027,44.047577,4756.8696,461.84497,273.10532,0.5913355,1532.749,8.670611,0.005656902,6751.464,121.270065,198.2186,2451.2578,5715.9507,40.13454,0.5571763,28.719477
5.0,3.0,0.0,2.0,-6333.1895,1790.2657,3384.0,0.8992825,379.0,0.100717515,252.0,0.066967845,255.0,7.0,0.0018602179,10.0,117.0,0.031092213,279.0,3.0,0.0007972362,3157.5552,4050.5383,50.0,824.9038,874.9038,310.75552,310.75552,12.649547,12.649547,23.898829,24.17248,11.7309475,261.2919,22.077557,6.535337,2.027439,3.125468,1454.146,0.3057746,3.234917,5.0,3.3393276,0.42971218,2329.0498,4559.2837,287.0,381.61398,450.0,537.08813,41.62433,4755.6143,493.5682,274.96793,0.5571022,1532.749,11.893041,0.007759288,6781.931,114.48729,197.31438,2350.6226,5480.2617,44.006927,0.51566094,28.684723
5.0,2.75,1.0,2.0,-6239.3984,1757.3768,3391.0,0.9011427,372.0,0.09885729,218.0,0.0579325,220.0,5.0,0.0013287271,7.0,147.0,0.039064575,265.0,2.0,0.00053149083,3157.5552,4040.3218,35.0,923.4784,958.4784,446.0793,446.0793,14.167469,14.167469,27.486336,27.73066,12.184196,451.46588,23.748617,6.7747,2.0372255,3.1309392,1462.6415,0.3057746,4.197629,5.0,4.259904,0.4313304,2421.1199,4511.1855,239.0,333.5018,450.0,554.5484,40.820923,4783.3975,460.07104,255.81033,0.55602354,1532.749,6.9164805,0.004512468,6776.218,112.35597,197.56024,2418.728,5726.6865,41.031326,0.5390456,28.349798
5.0,2.0,3.0,2.0,-6194.0747,1749.8755,3450.0,0.91682166,313.0,0.08317831,165.0,0.043847993,167.0,3.0,0.0007972362,5.0,143.0,0.038001593,214.0,2.0,0.00053149083,3157.5552,4020.5964,25.0,959.07684,984.07684,626.51105,626.51105,18.332453,18.332453,36.012062,36.435734,13.366839,354.52603,26.039276,7.7428765,2.0437496,3.212449,1471.8718,0.3057746,5.7429748,5.0,5.788687,0.4266295,2455.9487,4434.0513,184.0,329.9373,450.0,673.68567,40.04687,4813.5845,395.39822,229.0384,0.57926005,1532.749,8.835896,0.0057647377,6741.7314,111.2128,198.39227,3105.4797,5952.6743,34.167747,0.57453763,28.807526
5.0,1.75,3.0,2.0,-6129.868,1719.6802,3431.0,0.91177255,332.0,0.08822748,192.0,0.05102312,194.0,0.0,0.0,2.0,138.0,0.036672868,225.0,2.0,0.00053149083,3157.5552,4040.6787,10.0,1058.3657,1068.3657,1573.7776,1573.7776,15.372747,15.372747,31.274837,31.597258,10.955969,1426.0981,22.33786,6.465838,2.053536,3.074171,1459.6996,0.3057746,5.4554935,5.0,5.5070395,0.42544433,2528.0652,4483.7427,216.0,329.33307,450.0,648.7223,40.545143,4773.7764,461.24152,272.20898,0.5901658,1532.749,2.2071097,0.0014399682,6767.7666,112.30501,198.36185,2732.0232,6005.875,39.978275,0.5712061,28.726624
0.75,2.75,3.0,2.0,-6121.118,1597.9613,3407.0,0.9053946,356.0,0.09460537,144.0,0.03826734,154.0,77.0,0.020462397,92.0,125.0,0.033218175,255.0,10.0,0.0026574542,3157.5552,3999.7375,69.0,967.17474,1036.1747,33.57125,35.500633,19.691967,19.691967,24.882593,26.498346,16.508245,30.961245,21.59464,9.273651,2.015043,3.2913527,1446.1798,0.3057746,6.2803555,0.79310346,4.485605,0.42447308,2482.3545,4467.5713,132.0,208.66426,450.0,604.29333,42.80411,4729.5615,327.0085,183.6999,0.5617588,1532.749,99.75552,0.06508275,6589.319,119.62504,207.95886,3292.224,6099.377,29.999191,0.5409503,27.596558
4.25,5.0,0.0,2.0,-6098.4243,1588.3555,3440.0,0.91416425,323.0,0.08583577,181.0,0.04809992,193.0,7.0,0.0018602179,17.0,125.0,0.033218175,223.0,10.0,0.0026574542,3157.5552,4023.2004,72.25,1010.0812,1082.3312,181.48854,181.48854,15.612017,15.775493,29.040115,30.800123,14.915233,139.77757,27.214272,7.4594045,2.0129225,3.148899,1473.5537,0.3057746,5.2883835,4.25,5.466319,0.42835864,2555.885,4432.1177,202.0,296.25244,450.0,621.85284,38.520332,4819.0845,403.93564,202.01624,0.50011986,1532.749,22.072962,0.0144008985,6755.769,106.93812,197.78995,2784.0283,6003.4624,36.397038,0.48700967,28.059702
5.0,4.0,1.25,2.0,-5982.762,1576.184,3414.0,0.9072549,349.0,0.09274515,196.0,0.0520861,197.0,4.0,0.0010629817,5.0,148.0,0.039330322,229.0,1.0,0.00026574542,3157.5552,4030.1758,25.0,1179.9688,1204.9688,626.51105,626.51105,14.468056,14.468056,29.617634,29.764986,12.21013,428.6871,24.851858,6.677999,2.0437496,3.0531235,1468.6742,0.3057746,5.9896894,5.0,5.9948697,0.43019164,2673.643,4481.2676,186.0,267.89648,450.0,636.19147,40.468845,4803.127,426.8055,233.42969,0.54692286,1532.749,7.307323,0.004767462,6762.6816,112.77549,198.1321,2756.477,5979.883,38.240627,0.53806275,28.161757
