Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
2.0,2.25,0.0,6,-14077.84419850163,2383.5791277631374,3257.0,0.8655328195588626,506.0,0.1344671804411374,357.0,0.09487111347329259,380.0,16.0,0.004251926654265214,37.0,115.0,0.030560722827531226,269.0,18.0,0.0047834174860483655,3157.5551018271553,11910.816952727719,74.0,916.5278560532446,990.5278560532446,83.3393270764096,90.6927971125634,28.93233972809072,29.3181042577986,33.75981822182645,36.004716620208775,26.990069427939453,71.03902939008927,31.23189193379877,15.90601766650439,2.011780887706366,6.330102244883464,1401.0180452778586,0.3057746000000004,2.444074282808652,2.176470588235294,2.5333193249443595,0.43015598565485375,2391.5459013311033,4643.157858045177,339.0,231.13921373573754,462.1621621621622,515.0607345329901,38.486482663715094,4581.865352052972,691.2031236974384,407.345713801442,0.5893285198458539,1532.7489791111002,43.406492576,0.028319374644877,6805.817454861511,107.1743757058585,197.59093833390534,3454.3593918259685,6222.088455867711,21.74482773852328,0.5795971347783374,27.46042167751826
4.75,4.75,1.75,3,-7943.205970261501,1644.8874688772196,3450.0,0.9168216848259367,313.0,0.08317831517406325,155.0,0.04119053946319426,159.0,4.0,0.0010629816635663034,8.0,150.0,0.03986181238373638,206.0,4.0,0.0010629816635663034,3157.5551018271553,5949.768891089976,38.0,1126.1180226556316,1164.1180226556316,389.9443877283944,389.9443877283944,30.33742684549902,30.33742684549902,47.56410760635629,48.73132497092945,27.023476546855413,288.86299418861955,41.96139255530689,14.746214965401135,2.035268099565987,4.270862083228546,1483.6293696949338,0.3057745999999991,7.0825032871423375,4.75,7.141828359850501,0.43003749846229966,2647.7473923505654,4412.500906342892,134.0,185.90116544255608,450.0,715.0675001058789,40.917751394947516,4852.036008533534,327.11111832778903,178.49853108539614,0.5456816386978558,1532.7489791111002,10.79942798,0.0070457903591382605,6711.896105972423,114.50481885884008,231.4630801083421,4082.1792503152287,6327.4873059711945,20.045180346129783,0.5408666487820675,27.76238401379093
3.5,0.5,1.5,8,-18038.625857000963,2648.72816789514,3190.0,0.8477278766941271,573.0,0.15227212330587298,441.0,0.11719372840818496,443.0,4.0,0.0010629816635663034,6.0,126.0,0.03348392240233856,308.0,2.0,0.0005314908317831517,3157.5551018271553,15886.482888048517,21.0,984.4121328747094,1005.4121328747094,522.7591836378592,522.7591836378592,33.638985903326876,33.638985903326876,40.175113267262724,40.354867689040184,23.290880876046845,515.7128826586005,27.927622613836693,15.865281208552586,2.0463592829441413,7.297069121488369,1347.7138631963396,0.3057745999999988,2.2221492841415564,3.5,2.249244145133578,0.4224808348577867,2353.125996071049,4712.20220320398,419.0,212.26449393655977,450.0,449.7783786508665,38.48103906235191,4407.540270501032,939.2881575361213,639.8242657494168,0.6811799559229637,1532.7489791111002,6.081979347999999,0.003968020485342076,6879.577407148254,107.22181633670785,198.96769755210514,3406.153695910189,6230.613438429883,21.246694011585703,0.6818199165102757,28.092693022934593
0.75,2.75,3.0,2,-6121.117973973907,1597.9612979012747,3407.0,0.905394631942599,356.0,0.09460536805740101,144.0,0.038267339888386924,154.0,77.0,0.02046239702365134,92.0,125.0,0.03321817698644698,255.0,10.0,0.0026574541589157587,3157.5551018271553,3999.7375924240296,69.0,967.1747202772773,1036.1747202772772,33.57125110681691,35.50063335433512,19.69196670225164,19.69196670225164,24.882593390137835,26.49834620767925,16.5082446996283,30.96124453917405,21.594640787292466,9.273651524216241,2.0150430004646465,3.2913527938704203,1446.179785215133,0.3057745999999992,6.280355326475827,0.7931034482758621,4.485604849685182,0.4244730804858037,2482.35450549241,4467.571053190236,132.0,208.66425460864383,450.0,604.2933524826595,42.80411246752172,4729.561530667154,327.0084997509164,183.69989828264625,0.5617587873788331,1532.7489791111002,99.75552171099994,0.06508275201647956,6589.319009529171,119.6250407070299,207.95886638231522,3292.224193194741,6099.376752980207,29.999190912553956,0.5409502721548778,27.59655841390529
0.0,1.0,2.25,3,-8280.908322744788,2020.3024818010824,3204.0,0.8514483125166091,559.0,0.1485516874833909,237.0,0.06298166356630348,252.0,204.0,0.05421206484188148,246.0,103.0,0.027371777836832315,415.0,15.0,0.003986181238373638,3157.5551018271553,6022.543287993027,0.0,899.1900670753926,899.1900670753926,12.835589844825835,14.418059825694773,20.33076674967315,20.33076674967315,16.62832996535098,18.15988667268594,15.422957302798729,13.002855457485614,14.400938985153935,9.056409846803353,2.06006015652892,3.946174749442005,1349.2851727061943,0.30577459999999956,3.5682145518864785,0.0,1.9719080418320012,0.42112520995823793,2248.475239781587,4513.17250512428,246.0,292.33688548615993,450.0,404.1298207084291,46.58718766499947,4412.679054133981,565.715698337794,332.19006707539313,0.5872031977395108,1532.7489791111002,242.8355150260001,0.15843136634599472,6511.143731582875,129.06671311127818,198.24523051747454,2962.29975873713,6100.498787693231,33.67254199830091,0.5755804610190115,28.188211087675377
3.0,3.25,0.75,7,-15930.320294553594,2142.0425698796084,3406.0,0.9051288865267074,357.0,0.09487111347329259,206.0,0.05474355567366463,212.0,10.0,0.0026574541589157587,15.0,136.0,0.03614137656125432,207.0,5.0,0.0013287270794578793,3157.5551018271553,13768.499764448277,45.0,950.7345717218391,995.7345717218391,207.50367345514368,207.50367345514368,60.46115656946433,60.74770233519639,70.17762244296738,72.08289726042351,52.61578610337176,177.54841482695778,61.002666251254546,32.99093801564442,2.030701141704394,8.291545229621374,1457.807283309035,0.30577459999999984,4.505851050814403,3.0,4.505586297383887,0.42801153356107896,2453.541855030874,4449.055016836069,165.0,180.0,450.0,749.1840806354044,43.078084636535756,4767.5879007250305,388.5238178632026,243.6106374528735,0.6270159672389702,1532.7489791111002,17.530740023,0.011437450138225991,6688.860697699333,120.55032620148785,327.6519135284919,4456.986094804506,6358.196372055023,10.57867812537884,0.6306816322894802,27.22245923626502
4.5,1.5,2.5,5,-11979.619307273562,2083.4987155823433,3382.0,0.8987509965453095,381.0,0.1012490034546904,231.0,0.06138719107095403,233.0,2.0,0.0005314908317831517,4.0,146.0,0.038798830720170076,225.0,2.0,0.0005314908317831517,3157.5551018271553,9904.532833549121,18.0,1064.4686281027132,1082.4686281027132,784.8887754567888,784.8887754567888,37.94018972294596,37.94018972294596,50.54691690832727,50.97710343520665,27.51236394860073,627.49946956732,36.711746874884184,17.447551570353564,2.0483165505991097,5.874049734544796,1439.594085677454,0.30577459999999895,4.568534884561001,4.5,4.606249481288141,0.42566353804773915,2522.062713780167,4508.176520064343,218.0,217.08312211079334,450.0,681.0694596572912,42.5668412285807,4708.023772011995,506.6650280299054,321.3124187351415,0.6341712985096266,1532.7489791111002,5.003279291999998,0.0032642522423349395,6747.4377791530005,118.86519398260975,211.95915889171167,3667.249134511905,6272.540521542333,18.423319911773973,0.6371180396540899,27.762998877266885
1.25,4.0,0.75,5,-11907.033571575199,1867.323524160062,3378.0,0.8976880148817433,385.0,0.1023119851182567,168.0,0.044645229869784746,214.0,35.0,0.009301089556205155,76.0,144.0,0.038267339888386924,259.0,38.0,0.010098325803879883,3157.5551018271553,9863.123601812375,93.75,1019.8951320643295,1113.6451320643296,40.313225024041515,41.969932901741856,41.323497522187125,42.928293542466236,41.05873645370758,49.40677830529128,41.160244640930046,34.7593486443057,39.29816206062935,23.842811226490706,1.9988955423111574,6.254856920587481,1437.6017874800664,0.3057745999999997,4.9509472430307255,1.2842465753424657,4.620934157943276,0.42557779380700606,2551.246919544396,4551.922199810797,158.0,190.96972836493464,444.07894736842104,630.1386106944333,45.33497226940506,4701.50819420602,370.8970551225402,214.84878301608234,0.5792679668084685,1532.7489791111002,88.14334046300002,0.05750670309636592,6605.15422843966,126.8660327292509,286.41225614207144,4049.011988528068,6300.27946538101,14.195651591717509,0.563657983378488,27.218908362956082
1.75,0.0,2.75,7,-16025.869865269215,2504.926236755196,3260.0,0.8663300558065373,503.0,0.13366994419346268,356.0,0.09460536805740101,357.0,20.0,0.005314908317831517,22.0,126.0,0.03348392240233856,286.0,1.0,0.00026574541589157585,3157.5551018271553,13888.56476344206,38.5,981.75,1020.25,141.77523190123432,148.52643342034074,36.15354275473967,36.15354275473967,42.284617058757824,42.50893863466635,23.405397056117536,137.46773015881857,27.913046863459932,16.50108945701823,2.0349418882901587,6.922835693642197,1370.1088234737745,0.30577459999999956,2.75,1.8333333333333333,2.706233421750663,0.4202787802066793,2390.3588234737745,4679.562472496678,333.0,214.2057737178261,450.0,494.6713459105723,39.298890258451024,4480.780363947092,782.1795522690499,551.4460930740147,0.7050121567027762,1532.7489791111002,22.689362065000005,0.014803051493897216,6795.708895327242,109.50710996403136,206.32706794875185,3724.420512496592,6287.215160223989,20.130159779584837,0.6853000143871576,28.041473076237235
3.75,3.0,1.0,3,-8006.095461493234,1879.7290140140449,3349.0,0.8899813978208876,414.0,0.11001860217911241,230.0,0.06112144565506245,237.0,10.0,0.0026574541589157587,17.0,167.0,0.04437948445389317,275.0,7.0,0.0018602179112410311,3157.5551018271553,6001.624259064198,63.75,1089.3338993981201,1153.0838993981201,181.98853540159737,181.98853540159737,20.726963542894843,20.726963542894843,31.520060872020608,32.41334194936532,17.290021069682602,157.21000973058872,26.353981171320246,9.881324854908566,2.0184682188608414,3.944127014119091,1440.9960781049708,0.3057745999999986,4.596345567080676,3.75,4.668355868008583,0.4302765237697733,2594.079977503091,4590.179731968169,248.0,280.7164631193413,450.0,621.5572807353107,47.48007005616956,4712.608823966992,497.1287182432717,284.1112997993735,0.5715045004910432,1532.7489791111002,19.679440940999996,0.012839311073893429,6742.486521321363,131.4751282692352,198.08970376600405,3098.272760675534,6157.424695272999,29.803196819412904,0.565268270869372,28.259381064885076
