trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor
0,0_0,RUNNING,Sobol,True,1744.3068569675181,-9989.014572903256,3.7,4.2,2.0,4,1.9233626127243042,0.10792212188243866,0.6650616526603699,0.1482965648174286
0,0_2,RUNNING,Sobol,True,1301.100941777713,-6027.806966110225,2.1,3.0,2.3000000000000003,2,3.2702424358576536,0.6056966064497828,0.8051407197490335,0.7813988691195846
0,0_1,RUNNING,Sobol,True,1944.5074126864079,-13919.638157260239,0.2,2.4000000000000004,0.2,6,2.6451517334207892,0.7721668435260653,0.23473090212792158,0.5856570582836866
0,0_10,RUNNING,Sobol,True,1804.795129283261,-8124.334834473366,1.5,4.0,0.30000000000000004,3,1.1906475219875574,0.8591477377340198,0.5934926839545369,0.03678408823907375
0,0_11,RUNNING,Sobol,True,2123.9187728283223,-12447.30385043719,4.9,2.0,1.8,5,3.4717880384996533,0.02339804545044899,0.00672980397939682,0.7243949808180332
0,0_13,RUNNING,Sobol,True,2286.4890799127197,-10270.747338729881,2.4000000000000004,1.5,1.2000000000000002,4,1.5279471408575773,0.6704594306647778,0.16960261017084122,0.5015421994030476
0,0_14,RUNNING,Sobol,True,1597.7609708285481,-13958.265145817088,0.4,3.2,2.1,6,2.1347959330305457,0.9570530392229557,0.8491508606821299,0.8652543248608708
0,0_12,RUNNING,Sobol,True,1230.5721996760794,-13986.108724143305,4.0,4.6000000000000005,2.6,6,3.8083294862881303,0.45970604103058577,0.7392155053094029,0.18942715786397457
0,0_3,RUNNING,Sobol,True,2701.5994590006007,-14362.991030512763,4.4,1.2000000000000002,1.5,6,1.0360705787315965,0.26957130059599876,0.3449036069214344,0.46903396118432283
0,0_4,RUNNING,Sobol,True,1988.2190022867042,-15925.303072076282,4.6000000000000005,3.7,0.7000000000000001,7,1.73068614769727,0.20826330315321684,0.8937937626615167,0.9418508624657989
0,0_6,RUNNING,Sobol,True,1352.012508206416,-11948.17452160424,1.2000000000000002,4.9,1.0,5,3.076189818792045,0.710916068404913,0.5022489037364721,0.11282549425959587
0,0_7,RUNNING,Sobol,True,2212.5586427047247,-10163.820669944273,2.7,1.6,2.8000000000000003,4,2.353642515838146,0.4216752825304866,0.08894799929112196,0.6756818424910307
0,0_8,RUNNING,Sobol,True,1531.7603255272286,-6285.941755069776,3.0,2.7,0.9,2,2.8657460436224937,0.3569219820201397,0.9519641194492579,0.8929088385775685
0,0_9,RUNNING,Sobol,True,2512.6486566624744,-16086.633817052067,0.9,0.6000000000000001,2.9000000000000004,7,2.0969881741330028,0.5208022622391582,0.39803708996623755,0.33030617143958807
0,0_5,RUNNING,Sobol,True,2204.013642495358,-8471.132964935126,1.8,0.4,1.5,3,3.9642886612564325,0.91938491538167,0.447654876857996,0.25400536227971315
1,1_0,RUNNING,BoTorch,True,2527.4407309182757,-7061.240142375882,5.0,0.0,3.0,2,1.0,0.0,0.0685388598071907,0.0
1,1_1,RUNNING,BoTorch,True,2073.9954889732585,-6825.035552920876,0.0,0.0,3.0,2,1.0,0.0,0.2994087697203086,1.0
2,2_0,RUNNING,BoTorch,True,2938.68378613914,-13369.851482006037,5.0,0.0,0.0,5,1.3798519965841463,0.0,0.0,0.0
2,2_1,RUNNING,BoTorch,True,2750.34660919081,-9267.328258264102,5.0,0.0,0.0,3,1.0,0.0,1.0,0.0
3,3_0,RUNNING,BoTorch,True,3251.0169844025318,-17413.71569096662,5.0,0.0,0.0,7,1.0,0.0,0.0822137534063988,0.0
3,3_1,RUNNING,BoTorch,True,1790.6752137271608,-6256.726244893276,5.0,2.4000000000000004,3.0,2,1.0,0.5921041098742923,0.5786395253711584,0.4360733960563956
4,4_0,RUNNING,BoTorch,True,1644.5399996607352,-6371.916030107082,1.4000000000000001,5.0,3.0,2,1.0,0.3033238173685861,0.039625089944840916,0.13475295358884282
4,4_1,RUNNING,BoTorch,True,3086.2651669775473,-15391.389777142245,4.5,0.0,0.0,6,1.0,0.0,0.5244813225468734,0.0
5,5_0,RUNNING,BoTorch,True,1878.009469260065,-6426.812695989391,3.3000000000000003,0.0,3.0,2,2.937115545633577,0.7313021064969186,1.0,0.3748874761386253
5,5_1,RUNNING,BoTorch,True,2704.480680272715,-7217.455736594423,5.0,0.0,0.0,2,1.0,1.0,1.0,0.0
6,6_0,RUNNING,BoTorch,True,2850.8452239791804,-11326.767058507943,5.0,0.0,0.0,4,1.0,1.0,0.0,0.0
6,6_1,RUNNING,BoTorch,True,3077.72865549769,-15398.07879406567,5.0,0.0,0.0,6,1.0,1.0,0.0,0.0
7,7_0,RUNNING,BoTorch,True,3191.84146997146,-17430.896438299194,5.0,0.0,1.2000000000000002,7,1.0,0.0,0.0,0.0
7,7_1,RUNNING,BoTorch,True,2990.5269433774274,-13357.01852791485,5.0,0.0,1.7000000000000002,5,1.0,0.0,0.0,0.0
8,8_0,RUNNING,BoTorch,True,1800.418987069397,-6381.767275189939,1.7000000000000002,1.3,3.0,2,3.0797600545278687,0.4718558655855246,0.10152678827871804,0.3466675856671242
8,8_1,RUNNING,BoTorch,True,1718.1032784934596,-6288.684186196225,1.6,1.8,3.0,2,3.153247686245113,0.5063107393142738,0.29405246752836756,0.3511260897758531
9,9_0,RUNNING,BoTorch,True,1661.5618677586308,-6179.484396661295,3.6,5.0,0.0,2,1.0,0.6002550439197678,1.0,0.28922814378736206
