from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
1113,1125,134.9996227,10.0662102,1,916,4.0,2.0,12.0,4.0,22.0
1113,1121,196.9994494,14.68921044,1,916,10.0,3.0,7.0,5.0,25.0
1121,1113,196.9994494,14.68921044,1,916,3.0,2.0,11.0,4.0,20.0
1121,1112,306.999142,22.89130764,1,916,9.0,1.0,3.0,0.0,13.0
1112,1121,306.999142,22.89130764,1,916,0.0,1.0,4.0,0.0,5.0
1160,1124,227.9993628,17.00071056,1,916,35.0,50.0,55.0,9.0,149.0
1124,1160,227.9993628,17.00071056,1,916,36.0,37.0,35.0,8.0,116.0
1124,1123,196.9994494,14.68921044,1,916,30.0,48.0,54.0,9.0,141.0
1123,1124,196.9994494,14.68921044,1,916,33.0,28.0,34.0,8.0,103.0
1123,1122,192.9994606,14.39095236,1,916,32.0,48.0,47.0,13.0,140.0
1122,1123,192.9994606,14.39095236,1,916,32.0,30.0,34.0,8.0,104.0
1122,1131,212.9994047,15.88224276,1,916,28.0,33.0,35.0,13.0,109.0
1131,1122,212.9994047,15.88224276,1,916,22.0,25.0,33.0,8.0,88.0
1131,1130,128.9996395,9.61882308,1,916,23.0,28.0,29.0,9.0,89.0
1130,1131,128.9996395,9.61882308,1,916,17.0,18.0,32.0,8.0,75.0
1143,1144,239.9993292,17.8954848,1,917,6.0,9.0,26.0,0.0,41.0
1144,1143,239.9993292,17.8954848,1,917,10.0,27.0,27.0,1.0,65.0
1144,1137,228.99936,17.07527508,1,917,15.0,22.0,37.0,4.0,78.0
1137,1144,228.99936,17.07527508,1,917,15.0,34.0,32.0,5.0,86.0
1137,1146,127.9996423,9.54425856,1,917,16.0,34.0,45.0,4.0,99.0
1146,1137,127.9996423,9.54425856,1,917,19.0,54.0,49.0,5.0,127.0
1146,1135,207.9994187,15.50942016,1,917,16.0,34.0,48.0,4.0,102.0
1135,1146,207.9994187,15.50942016,1,917,22.0,66.0,50.0,5.0,143.0
1135,1145,247.9993069,18.49200096,1,917,23.0,43.0,48.0,8.0,122.0
1145,1135,247.9993069,18.49200096,1,917,24.0,66.0,56.0,5.0,151.0
1145,1136,298.9991643,22.29479148,1,917,23.0,43.0,48.0,8.0,122.0
1136,1145,298.9991643,22.29479148,1,917,25.0,67.0,57.0,6.0,155.0
1136,1115,290.9991867,21.69827532,1,917,42.0,65.0,55.0,8.0,170.0
1115,1136,290.9991867,21.69827532,1,917,27.0,75.0,59.0,6.0,167.0
