Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
2.765257,4.02E-16,1.7560186,2,2.841432,0.43761593,6770.9214,1948.0776,3139,0.8341749,624,0.16582514,483,0.12835504,496,11,0.0029232,24,117,0.031092213,636,13,0.00345469,3157.5552,4115.225,66.366165,435.4926,501.8588,128.79955,128.79955,7.418815,7.418815,13.021003,13.354875,4.6170616,145.83261,8.275562,5.21463,2.0167613,3.0248873,1306.2264,0.3057746,0.8780093,2.765257,0.9898595,0.41612822,1808.0852,4778.9087,920,470.93768,450,286.09183,50.54289,4271.8604,705.65546,796.9858,1.1294261,1532.749,21.196829,0.013829289,6510.265,129.82022,198.237,2293.6006,4888.19,58.336117,0.63761497,30.036835
4.130932,0,2.8902416,2,1.6918584,0.09693208,6639.7646,1941.7036,3224,0.85676324,539,0.14323679,378,0.10045177,386,8,0.002125963,16,145,0.038533084,491,8,0.002125963,3157.5552,4106.121,66.09491,557.81665,623.91156,193.21626,193.21626,9.192498,9.192498,16.516827,16.852194,5.8309927,208.63979,10.651878,5.2504735,2.0169384,3.0063834,1360.9508,0.3057746,1.4451208,4.130932,1.5835319,0.42213115,1984.8623,4752.587,679,486.6769,450,350.43857,47.79593,4450.83,675.8065,608.5249,0.9004425,1532.749,14.817213,0.009667084,6659.3857,125.461006,198.22789,2292.28,4961.2153,57.728207,0.6237018,29.254166
2.016657,0.5927457,1.1868023,2,2.9078984,0.13148205,6552.091,1843.1772,3300,0.87695986,463,0.123040125,277,0.07361148,311,12,0.003188945,43,145,0.038533084,422,29,0.007706617,3157.5552,4072.9026,54.016586,624.35046,678.36707,72.175316,75.69606,11.088593,11.269778,18.50873,20.60406,9.387309,60.098457,15.637294,6.083242,2.0248184,3.120574,1407.9323,0.3057746,2.040361,1.3174777,2.1332297,0.42664614,2086.2993,4650.413,482,490.66583,544.18604,412.4596,48.34943,4604.4775,566.8938,367.36322,0.6480283,1532.749,51.6409,0.03369169,6704.1206,128.90738,197.92651,2326.3667,5187.83,50.24484,0.55719185,28.58165
4.96448,1.9080207,2.0807896,2,1.8853356,0.3329453,6278.3677,1824.9386,3429,0.91124105,334,0.08875897,191,0.050757375,193,3,0.000797236,5,138,0.036672868,223,2,0.000531491,3157.5552,4030.196,24.8224,884.5613,909.38367,626.5466,626.5466,16.298626,16.298626,31.708927,32.032486,13.625323,506.29105,26.484922,7.3690314,2.0438654,3.203868,1469.8771,0.3057746,4.583219,4.96448,4.639713,0.42866057,2379.2607,4456.8076,218,335.73434,450,659.9341,40.87925,4807.0605,426.87222,230.86679,0.54083353,1532.749,6.1876125,0.004036938,6766.682,113.25348,197.9681,2882.3372,6020.5312,38.095284,0.53025115,28.249598
4.6629124,1.548875,3,2,1.8043011,0.30269945,6236.0776,1752.9781,3399,0.9032687,364,0.096731335,200,0.05314908,204,7,0.001860218,11,153,0.040659048,267,4,0.001062982,3157.5552,4037.9004,51.292038,908.08575,959.3778,282.38754,282.38754,15.342229,15.342229,29.005013,29.55487,11.907266,271.7169,22.73608,6.922336,2.026596,3.1417882,1453.9241,0.3057746,4.4514008,4.6629124,4.546814,0.42775053,2413.3018,4510.4336,250,367.1675,450,613.9211,45.53248,4754.888,452.13272,262.84915,0.58135396,1532.749,11.431984,0.007458484,6739.77,125.67909,198.2056,2521.545,5798.78,40.195004,0.56216437,28.210804
4.276206,1.2381076,2.5622962,2,2.2922788,0.40951854,6225.908,1745.9011,3387,0.9000797,376,0.09992027,218,0.0579325,224,6,0.001594472,12,146,0.03879883,260,6,0.001594472,3157.5552,4056.541,49.766804,938.4214,988.1882,258.98236,258.98236,13.920177,13.920177,26.380966,27.069166,10.697584,227.95233,20.405296,6.075252,2.0275912,3.042968,1446.1824,0.3057746,4.189381,4.1472335,4.29647,0.42698035,2434.3706,4521.3506,240,361.8172,450,604.1439,43.632618,4729.5703,513.24945,291.47885,0.56790876,1532.749,13.633501,0.008894804,6775.569,119.708664,198.30591,2454.7507,5656.958,45.301975,0.5375222,28.221273
3.7694218,2.1295848,1.9562258,2,2.1564653,0.45872667,6082.607,1695.3938,3401,0.90380013,362,0.09619984,195,0.051820356,205,6,0.001594472,14,153,0.040659048,247,8,0.002125963,3157.5552,4039.0505,51.527294,1062.4712,1113.9984,221.85913,221.85913,14.519899,14.662952,27.774462,29.103384,12.165653,193.2749,23.328135,6.528972,2.0264425,3.0586581,1461.9141,0.3057746,5.233848,3.680521,5.3301363,0.4298483,2575.9126,4468.2124,221,316.75967,482.14285,598.71246,41.07833,4781.0186,455.9032,244.67075,0.5366726,1532.749,16.070518,0.010484768,6769.671,113.869835,197.84811,2847.758,6039.6753,41.079407,0.537941,27.88152
1.8441327,3.0372105,0.692307,2,2.3988602,0.18796821,6024.679,1513.7712,3386,0.89981395,377,0.10018602,153,0.040659048,236,22,0.005846399,82,145,0.038533084,272,57,0.015147489,3157.5552,4019.6875,102.88293,1049.6802,1152.5631,37.252098,38.666737,12.584776,14.142891,18.945532,25.968445,15.622825,33.913174,21.50287,7.568485,1.992937,3.1294327,1447.4998,0.3057746,4.998477,1.3023155,4.9679446,0.42749548,2600.0627,4548.5483,201,274.50797,488.41464,608.87885,46.00418,4733.8784,392.41766,190.10692,0.48445046,1532.749,90.07332,0.058765866,6659.045,127.59345,196.39941,3001.161,6012.0522,36.893814,0.45220292,27.504566
1.8918118,4.380499,0.239399,2,2.36201,0.13636816,6011.9517,1356.4956,3418,0.9083178,345,0.091682166,109,0.02896625,205,16,0.004251927,82,156,0.041456286,243,64,0.017007707,3157.5552,3996.1394,91.83965,1049.9031,1141.7427,37.386772,38.32144,14.371885,17.030268,20.947567,31.809269,19.511404,34.07127,24.947905,9.346857,2.0001419,3.2532904,1460.808,0.3057746,6.068804,1.1479957,6.0409665,0.4273868,2602.5508,4500.3374,145,230.24126,488.41464,642.96063,43.39984,4777.4014,315.21146,151.00075,0.47904584,1532.749,89.97949,0.05870465,6625.362,121.02165,215.60706,3221.4788,6055.31,29.702806,0.43334118,27.491737
2.001873,4.8891077,0,2,2.7360318,0,5962.986,1245.1086,3410,0.9061919,353,0.09380813,91,0.024182834,222,27,0.007175126,117,150,0.039861813,280,85,0.022588361,3157.5552,3988.6914,90.08429,1093.1764,1183.2606,26.2177,27.388132,13.04286,16.45179,17.589928,29.374313,21.38335,24.11753,22.70764,9.957366,2.0012872,3.270005,1449.3029,0.3057746,6.2112293,0.804324,5.8288703,0.42501548,2632.5635,4534.0938,161,264.9696,526.9231,592.00323,46.044697,4739.775,290.79126,135.40979,0.46565977,1532.749,127.18843,0.0829806,6563.3154,128.14247,226.0455,3345.822,6040.2515,27.655104,0.38442513,27.608208
