Total mob. Logsum increase with micro,Total subsidy ($),trial_index,arm_name,Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,trial_status,generation_method
1356.4956131160673,-6011.951896502074,0,0_0,1.8918119072914124,4.3804991245269775,0.2393990010023117,2,2.3620099127292633,0.13636815547943115,RUNNING,Sobol
1585.9788295454493,-10072.299321628547,0,0_2,3.7996866442263126,3.2656583515927196,0.795610673725605,4,3.0774046890437603,0.5028890864923596,RUNNING,Sobol
2549.0177244057486,-16062.115649483356,0,0_1,4.42605609074235,0.36138628143817186,2.6178084947168827,7,3.452966656535864,0.9378343876451254,RUNNING,Sobol
1645.7158402447526,-7871.062095980318,0,0_10,3.1461564414203167,4.6993044298142195,2.6534873843193054,3,1.1073104860261083,0.9009535619989038,RUNNING,Sobol
2831.4293890168337,-15013.177283457979,0,0_11,2.6726880222558975,0.04535147454589605,0.48493042308837175,6,3.0185738625004888,0.20446845144033432,RUNNING,Sobol
1567.7000113988468,-15895.829841071905,0,0_12,2.188548929989338,3.805183917284012,1.097349051386118,7,2.755129019729793,0.4479466238990426,RUNNING,Sobol
1767.5007763228548,-6464.721450976804,0,0_13,3.723075170069933,0.939605780877173,1.7657237285748124,2,1.5704279644414783,0.6262253895401955,RUNNING,Sobol
2017.4485783645391,-11985.770034695019,0,0_14,4.096453953534365,2.610548115335405,0.11912541557103395,5,1.9459898425266147,0.8162986291572452,RUNNING,Sobol
2193.525610589479,-12001.719632360335,0,0_3,2.273064248263836,1.679340684786439,1.6045201616361737,5,1.2364709787070751,0.32131535932421684,RUNNING,Sobol
1905.9919675958504,-13898.083107375378,0,0_4,2.849952667951584,2.9194892989471555,2.955037023872137,6,1.5350689198821783,0.0808879779651761,RUNNING,Sobol
1803.7894247727238,-8167.832828022486,0,0_5,3.3155778609216213,2.0253383554518223,0.6463112840428948,3,2.602565309032798,0.7745664678514004,RUNNING,Sobol
1281.0397795438635,-13975.329765819726,0,0_6,4.94293149933219,4.101706715300679,2.0112487049773335,6,3.7284925039857626,0.7143745562061667,RUNNING,Sobol
2081.1446302142153,-8475.721976027955,0,0_7,1.4696692824363708,0.6403507990762591,1.1330229341983795,3,1.9109734054654837,0.3910779859870672,RUNNING,Sobol
1355.2206161173988,-8064.497007881861,0,0_8,1.0532079190015793,3.59138919506222,2.1317110368981957,3,3.3944784374907613,0.2692980570718646,RUNNING,Sobol
2238.4033259544644,-13998.23838615221,0,0_9,4.51856629177928,1.3508490100502968,1.4872209392488003,6,2.23323777038604,0.5861258674412966,RUNNING,Sobol
1655.6482449739467,-6173.838074907349,1,1_1,2.8061712780592223,2.583183083756712,1.2847675330514328,2,1.7861527052224098,0.3991219258035871,RUNNING,BoTorch
2473.3589679110673,-11082.31428116815,1,1_0,2.7911950060913915,4.1726979277019757e-17,0.5631283775381958,4,2.9495396169955783,0.21072870598618645,RUNNING,BoTorch
1823.1487510263164,-6499.972267381706,2,2_1,2.6163013224281366,1.078230323911117,0.46898117303184306,2,2.5013989318919103,0.1391217225096392,RUNNING,BoTorch
2910.8312564699186,-16916.580506439135,2,2_0,2.978163342972364,0.0,0.977554212559615,7,3.044885185660643,0.37038192416039806,RUNNING,BoTorch
1948.077615006061,-6770.921233064983,3,3_0,2.765256986181398,4.024717773763715e-16,1.7560186101150443,2,2.841432117137392,0.43761592997403975,RUNNING,BoTorch
1544.10139196102,-6106.103652234475,3,3_1,2.3791778034324893,2.928905436836092,0.5994467819650371,2,2.579558623661697,0.29522707406450965,RUNNING,BoTorch
2655.570991640802,-13055.145183662495,4,4_1,2.791373962493393,1.0936671375885203e-16,0.703260998542881,5,2.932464814612139,0.2934607354172071,RUNNING,BoTorch
1522.2773712925682,-6142.475155166833,4,4_0,2.3083668715814323,2.9487206308758998,1.1501841118558425,2,2.3686220040078947,0.05893344204642055,RUNNING,BoTorch
2935.3237677419165,-17121.613744193135,5,5_1,2.924333620144884,0.0,0.499999999999991,7,3.4551320573848257,0.30138445967213473,RUNNING,BoTorch
2206.2323455392143,-7030.27334083288,5,5_0,1.089468960644549,0.0,0.4999999999999952,2,3.3595251673334663,2.693031168933244e-15,RUNNING,BoTorch
2221.5985248648726,-7031.691803703037,6,6_0,1.3077778547337846,5.7612269353334686e-15,0.5000000000000105,2,3.4921492014527087,0.0022759996518436996,RUNNING,BoTorch
2885.145935699358,-17058.46704652241,6,6_1,2.3369023025489106,6.592063828834546e-15,0.6728009782163792,7,3.312896440669081,0.3083237350362217,RUNNING,BoTorch
3008.07843953829,-17100.647109192585,7,7_0,3.3692571360812775,2.412227613361213e-12,0.5817293340529495,7,3.2589826503614705,0.247520403446343,RUNNING,BoTorch
1513.771214378229,-6024.679350215338,7,7_1,1.8441326934160294,3.037210348277947,0.6923070041601334,2,2.3988602742608545,0.18796821123078813,RUNNING,BoTorch
1478.5867715985064,-6081.668876688314,8,8_1,1.8887605088917994,3.2618173580350653,0.6965774173552385,2,2.3736340014105517,0.19219921681481908,RUNNING,BoTorch
3054.4294053579324,-17029.232467603684,8,8_0,3.987747706747503,0.0,0.7079205369600374,7,3.2491703179517146,0.09566541190358008,RUNNING,BoTorch
1510.843094730474,-6200.420572203889,9,9_0,1.288106885112219,2.9278150098798124,0.0,2,2.911587497844579,0.0,RUNNING,BoTorch
1661.7267974243393,-6219.459941100403,9,9_1,1.5062943696493103,1.8483440329806835,0.9514245620874295,2,2.7277893578713472,0.1905937607850976,RUNNING,BoTorch
1562.46022778616,-6187.805630637524,10,10_0,1.9963063215184742,2.9031857708816187,2.0085425250055665e-10,2,1.875845074444376,0.09772263467430209,RUNNING,BoTorch
2985.994048610773,-17135.276676537047,10,10_1,4.149407903087026,1.2214003785617798e-09,0.5000000004816197,7,3.1137761069205774,0.09178718117431661,RUNNING,BoTorch
2231.425981366685,-8914.288027349829,11,11_1,2.9787779331131707,4.876416588495119e-13,1.0602395870522088,3,3.999999999999253,3.470789618873406e-13,RUNNING,BoTorch
2970.436284239389,-16832.065796793646,11,11_0,3.636402754832617,6.233511251391888e-14,1.1278502159138624,7,3.503687051620943,0.07865622765901575,RUNNING,BoTorch
1609.2267607874273,-6163.202494147683,12,12_1,1.9930869963892373,2.338765100820715,0.6971547369272916,2,2.278904505053296,0.18601850219189123,RUNNING,BoTorch
1646.3474875773477,-6218.848672026032,12,12_0,2.0215460837697004,2.272723158138385,0.729672789790125,2,2.2416817480884497,0.19601519046623755,RUNNING,BoTorch
1423.7147423377667,-6071.905634099507,13,13_1,2.1118249890739484,2.98648446827189,0.3188975307154829,2,2.602369765741269,0.06182644190388025,RUNNING,BoTorch
1695.393788728897,-6082.607130845046,13,13_0,3.769421812583782,2.129584802977109,1.9562258101064878,2,2.1564653980157695,0.4587266869579675,RUNNING,BoTorch
1655.7379734607005,-6132.84926445975,14,14_1,4.1235043141395415,2.595925336255873,1.9067001075383907,2,1.6067101647430442,0.6602471047314267,RUNNING,BoTorch
1419.2638049721859,-6042.972356503786,14,14_0,1.757924115427926,4.999999999999999,8.417157668658134e-16,2,1.489928205136016,0.16300151418180253,RUNNING,BoTorch
1446.941954989637,-6101.652667381037,15,15_0,1.6447108966963309,2.6799594434692158,0.6814189098183914,2,2.650820539446262,0.18231818751491413,RUNNING,BoTorch
1581.0951978615062,-6208.366039670531,15,15_1,3.4251978425774223,2.130611148477216,1.7509012450179453,2,2.252865415062066,0.5225822301035666,RUNNING,BoTorch
1824.938553852228,-6278.36745513006,16,16_1,4.964479790596149,1.9080207184631095,2.0807895135679164,2,1.88533554741848,0.33294529603403206,RUNNING,BoTorch
1752.9781275467387,-6236.077805530733,16,16_0,4.662912519826654,1.5488749967156912,3.0,2,1.8043011207038118,0.3026994550006933,RUNNING,BoTorch
1774.8328640360721,-6334.701691191706,17,17_1,2.594026184483284,1.0680872761176354,2.140243160293231,2,2.8268368022717847,1.3877787807814457e-17,RUNNING,BoTorch
