Iteration,Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
0,3.146156441,4.69930443,2.653487384,3,1.107310486,0.900953562,-7871.062096,1645.71584,3448,0.916290194,315,0.083709806,151,0.040127558,162,10,0.002657454,21,143,0.038001594,213,11,0.0029232,3157.555102,5952.444377,68.59221307,1170.345169,1238.937382,147.0934709,147.0934709,29.51913091,29.51913091,43.01126828,45.76198893,25.05180656,98.7133723,35.42640826,14.23738722,2.01530905,4.21220515,1469.796759,0.3057746,7.224352897,3.26629586,7.203124316,0.426275162,2708.734142,4451.964159,135,188.1977342,450,733.0325508,43.37109259,4806.798077,335.8832019,190.8883975,0.568317785,1532.748979,31.29224356,0.020415765,6675.430257,121.3702838,245.7199099,4128.249057,6332.506703,20.65544361,0.566788,27.53836366
0,2.672688022,0.045351475,0.484930423,6,3.018573863,0.204468451,-15013.17728,2831.429389,2852,0.757905926,911,0.242094074,808,0.214722296,812,4,0.001062982,8,95,0.025245815,846,4,0.001062982,3157.555102,12201.56031,19.80177685,326.1363532,345.93813,392.2191656,392.2191656,14.62490635,14.62490635,18.30875278,18.39850157,9.477253339,415.683738,11.90961201,7.221473117,2.047141031,4.72527215,1172.976855,0.3057746,0.401645755,2.475222106,0.423943787,0.411282207,1518.914985,4754.152813,1404,558.5548326,450,190.8728258,44.85511406,3836.083359,1644.460038,1253.0449,0.761979538,1532.748979,7.548414908,0.004924756,7013.292377,105.9597268,197.994933,2291.64583,5145.467801,48.41378279,0.716139079,28.6995385
0,2.18854893,3.805183917,1.097349051,7,2.75512902,0.447946624,-15895.82984,1567.700011,3457,0.918681903,306,0.081318097,99,0.026308796,130,28,0.007440872,51,157,0.04172203,218,22,0.005846399,3157.555102,13710.81476,108.6540464,863.8859774,972.5400238,59.78237364,60.97802111,98.82252912,106.1729652,87.82226432,106.6834218,109.7198124,52.5126782,90.75615003,64.43029753,1.989171806,9.176980351,1478.793006,0.3057746,7.139553533,2.173080928,6.527114254,0.427767719,2451.33303,4405.085821,87,180,450,751.0485442,45.48016184,4836.219249,199.3926658,117.0885049,0.587225736,1532.748979,58.06028487,0.037879839,6568.360894,127.2723333,478.7833707,4786.622751,6379.733764,5.782292393,0.570070669,25.847313
0,3.72307517,0.939605781,1.765723729,2,1.570427964,0.62622539,-6464.721451,1767.500776,3335,0.886260962,428,0.113739038,281,0.074674462,287,6,0.001594472,12,135,0.035875631,342,6,0.001594472,3157.555102,4072.05446,44.67690182,720.2112093,764.8881111,259.4065167,259.4065167,11.67889634,11.67889634,21.62114198,22.06389574,8.987689632,255.2579947,16.78572197,5.941794184,2.030911938,3.083045791,1422.754542,0.3057746,2.509446722,3.723075151,2.610539628,0.426613056,2187.642653,4632.717465,412,474.6881024,450,474.2526275,45.05399961,4652.952016,564.1129845,372.9371383,0.661103624,1532.748979,12.19502725,0.007956311,6749.81398,122.3523188,198.0891029,2298.313677,5117.165469,49.12833225,0.551682766,28.8205852
0,4.096453954,2.610548115,0.119125416,5,1.945989843,0.816298629,-11985.77003,2017.448578,3381,0.898485251,382,0.101514749,223,0.059261228,230,3,0.000797236,10,149,0.039596067,231,7,0.001860218,3157.555102,9881.458134,40.96454144,1012.27866,1053.243201,311.659056,311.659056,38.56164989,38.56164989,49.94070848,51.44107311,34.53667298,274.3950911,44.69588363,20.57765201,2.033333966,6.103482391,1455.976893,0.3057746,4.401211565,4.096454144,4.520357087,0.430634987,2509.220094,4455.381313,194,198.3871908,450,664.8705117,42.6625245,4761.601822,431.0102761,256.8046864,0.595820333,1532.748979,11.35804051,0.007410242,6725.361077,119.2811839,252.8445329,4121.590794,6326.831355,16.12183386,0.592226988,27.70962326
1,2.791195006,4.17E-17,0.563128378,4,2.949539617,0.210728706,-11082.31428,2473.358968,2894,0.769067234,869,0.230932766,750,0.199309062,763,8,0.002125963,21,98,0.026043051,863,13,0.00345469,3157.555102,8198.207739,58.61509323,214.8334664,273.4485596,147.5685718,147.5685718,10.46313797,10.46313797,14.13560495,14.37394848,6.47702591,164.5092378,8.855894631,6.114720823,2.021818348,3.904494375,1185.023892,0.3057746,0.281564176,2.791194916,0.354667392,0.40947612,1458.472451,4648.374388,1325,565.9881102,450,208.101313,49.88650919,3875.481782,1305.599144,1232.567907,0.944063048,1532.748979,18.83748324,0.012289999,6713.829906,119.0549603,197.7720685,2272.071311,4865.338864,56.14250282,0.700963025,29.2975202
1,2.806171278,2.583183084,1.284767533,2,1.786152705,0.399121926,-6173.838075,1655.648245,3411,0.906457614,352,0.093542386,188,0.049960138,202,14,0.003720436,25,139,0.036938613,247,11,0.0029232,3157.555102,4029.706614,65.6249818,947.798659,1013.423641,123.6772048,123.6772048,15.25697007,15.48697465,27.19752456,28.98515528,13.4245713,113.9007194,24.04910436,7.246985317,2.017244938,3.153108193,1457.676635,0.3057746,4.762807332,2.624999272,4.757857469,0.427345833,2471.100276,4516.478731,199,318.1122125,468,658.3395385,45.16940722,4767.160632,425.2675865,229.5721693,0.539829925,1532.748979,27.14583488,0.017710555,6725.177198,125.0711906,197.952604,2737.414819,5847.462779,38.45954513,0.51950283,27.85185369
2,2.978163343,0,0.977554213,7,3.044885186,0.370381924,-16916.58051,2910.831256,2804,0.745150146,959,0.254849854,838,0.222694659,842,5,0.001328727,9,112,0.029763487,800,4,0.001062982,3157.555102,14197.37919,26.80346918,411.5503191,438.3537883,347.8612925,347.8612925,16.37271838,16.37271838,19.87847298,19.97235007,10.16298759,362.6877278,12.39213578,7.68147175,2.042572969,5.083970455,1144.326848,0.3057746,0.488777101,2.978163242,0.51753694,0.408105153,1582.680636,4790.95324,1338,484.5707299,450,211.0438225,46.89862722,3742.386869,1794.685878,1356.474043,0.755828114,1532.748979,8.632085932,0.005631768,7069.821726,113.0698621,198.0039197,2304.309179,5217.435805,44.90406675,0.734897095,28.90901189
2,2.616301322,1.078230324,0.468981173,2,2.501398932,0.139121723,-6499.972267,1823.148751,3324,0.883337762,439,0.116662238,244,0.064841881,322,5,0.001328727,57,139,0.036938613,386,51,0.013553016,3157.555102,4059.112013,62.26587473,654.4289725,716.6948473,54.30331977,55.27302191,10.57354981,11.54129844,17.15032261,21.66657422,11.16937097,45.94019005,17.46367025,6.526398032,2.019436496,3.163884636,1420.999512,0.3057746,2.218403297,1.11189062,2.388982824,0.427496845,2137.694359,4617.827017,469,458.3319786,639.4736842,441.8001661,47.37079558,4647.212397,521.6787306,304.8231676,0.584312048,1532.748979,67.37650027,0.043957948,6701.640107,126.3503187,196.9686808,2299.876718,5295.605175,47.78209122,0.497510019,27.99395906
3,2.765256986,4.02E-16,1.75601861,2,2.841432117,0.43761593,-6770.921233,1948.077615,3139,0.83417486,624,0.16582514,483,0.128355036,496,11,0.0029232,24,117,0.031092214,636,13,0.00345469,3157.555102,4115.224919,66.36616516,435.4926224,501.8587875,128.799539,128.799539,7.418815114,7.418815114,13.02100237,13.35487423,4.617061588,145.8326124,8.275562693,5.21463015,2.016761374,3.024887317,1306.22643,0.3057746,0.878009319,2.765256882,0.989859541,0.416128203,1808.085218,4778.908463,920,470.9376882,450,286.0918191,50.54288805,4271.860482,705.6554714,796.9857508,1.129426162,1532.748979,21.19682892,0.013829289,6510.264933,129.8202191,198.2370048,2293.600708,4888.190037,58.3361182,0.637614945,30.03683519
