from_node,to_node,distance,travel_time,link_type,route
0,20,110.73741703344265,88.51911833208845,0,-1
20,0,110.73741703344265,88.51911833208845,0,-1
1,5,203.55140162275515,162.7109525361752,0,-1
5,1,203.55140162275515,162.7109525361752,0,-1
1,988,6.0052524170639225,4.80036164433567,0,-1
988,1,6.0052524170639225,4.80036164433567,0,-1
2,1054,6.06005439155826,4.8441681787036455,0,-1
1054,2,6.06005439155826,4.8441681787036455,0,-1
3,20,103.51746729496105,82.74777561547647,0,-1
20,3,103.51746729496105,82.74777561547647,0,-1
3,0,11.910338498677168,9.520654275521318,0,-1
0,3,11.910338498677168,9.520654275521318,0,-1
5,989,66.04963704417162,52.79747165801089,0,-1
989,5,66.04963704417162,52.79747165801089,0,-1
6,4,55.40432380122164,44.288028618082855,0,-1
4,6,55.40432380122164,44.288028618082855,0,-1
7,1,66.2202656636715,52.93386543858633,0,-1
1,7,66.2202656636715,52.93386543858633,0,-1
7,1058,152.05222028504895,121.54454059556272,0,-1
1058,7,152.05222028504895,121.54454059556272,0,-1
8,10,374.7931907682179,299.5948767132038,0,-1
10,8,374.7931907682179,299.5948767132038,0,-1
8,990,53.117761091671646,42.46024068079269,0,-1
990,8,53.117761091671646,42.46024068079269,0,-1
9,8,35.509923281842454,28.38523044112107,0,-1
8,9,35.509923281842454,28.38523044112107,0,-1
10,7,217.86588477341166,174.15338511064084,0,-1
7,10,217.86588477341166,174.15338511064084,0,-1
11,3,106.0334030309311,84.75891529251088,0,-1
3,11,106.0334030309311,84.75891529251088,0,-1
11,9,31.500817443093844,25.18050954683761,0,-1
9,11,31.500817443093844,25.18050954683761,0,-1
12,2,57.09612477292401,45.640387508332545,0,-1
2,12,57.09612477292401,45.640387508332545,0,-1
14,11,287.9640867582692,230.18711971084673,0,-1
11,14,287.9640867582692,230.18711971084673,0,-1
14,9,259.07923885346435,207.09771291244155,0,-1
9,14,259.07923885346435,207.09771291244155,0,-1
15,13,32.820379475987856,26.235315328527467,0,-1
13,15,32.820379475987856,26.235315328527467,0,-1
15,21,26.293124556516016,21.017685496815364,0,-1
21,15,26.293124556516016,21.017685496815364,0,-1
19,15,24.81493849440997,19.83608192998399,0,-1
15,19,24.81493849440997,19.83608192998399,0,-1
20,26,32.11357749844552,25.670325738165886,0,-1
26,20,32.11357749844552,25.670325738165886,0,-1
20,11,106.80447098913693,85.37527657005352,0,-1
11,20,106.80447098913693,85.37527657005352,0,-1
21,13,42.716417563794636,34.145817397118016,0,-1
13,21,42.716417563794636,34.145817397118016,0,-1
22,20,21.076694172833786,16.84787703663772,0,-1
20,22,21.076694172833786,16.84787703663772,0,-1
22,19,22.814664811450726,18.23714213545222,0,-1
19,22,22.814664811450726,18.23714213545222,0,-1
26,16,53.49844253300984,42.76454239249388,0,-1
16,26,53.49844253300984,42.76454239249388,0,-1
26,22,23.06830402884627,18.439891310028994,0,-1
22,26,23.06830402884627,18.439891310028994,0,-1
26,76,291.1538406932371,232.73688304815118,0,-1
76,26,291.1538406932371,232.73688304815118,0,-1
28,19,37.46558314334134,29.94850770850627,0,-1
19,28,37.46558314334134,29.94850770850627,0,-1
28,22,26.34699875946404,21.060750407245436,0,-1
22,28,26.34699875946404,21.060750407245436,0,-1
