,household_id,origin,destination,depart,home_zone_id,income,emp_15min
43889,1002399,2466,2565,11,2466,89728,28689.3381
43890,1002587,2466,2535,7,2466,96447,28689.3381
43891,1002587,2535,2466,11,2466,96447,28689.3381
43892,1002587,2593,2466,16,2466,96447,28689.3381
43893,1002587,2466,2740,12,2466,96447,28689.3381
43894,1002961,2466,2593,13,2466,61597,28689.3381
43895,1002961,2593,2586,14,2466,61597,28689.3381
43896,1003038,2466,2518,8,2466,148427,28689.3381
43897,1003038,2568,2565,14,2466,148427,28689.3381
43898,1003038,2565,2466,15,2466,148427,28689.3381
43899,1003038,2466,2834,13,2466,148427,28689.3381
43900,1003038,2834,2466,22,2466,148427,28689.3381
43901,1003218,2466,2558,8,2466,11333,28689.3381
43902,1003218,2558,2466,19,2466,11333,28689.3381
43903,1003218,2466,2812,11,2466,11333,28689.3381
43904,1003218,2812,2466,19,2466,11333,28689.3381
43905,1003311,2466,2623,9,2466,52904,28689.3381
43906,1003612,2466,2606,8,2466,102370,28689.3381
43907,1003612,2606,2466,11,2466,102370,28689.3381
43908,1003612,2466,2578,17,2466,102370,28689.3381
43909,1003612,2578,2466,17,2466,102370,28689.3381
43910,1003612,2466,2529,8,2466,102370,28689.3381
43911,1003612,2529,2466,9,2466,102370,28689.3381
43912,1003616,2466,2651,10,2466,100379,28689.3381
43913,1003616,2651,2466,14,2466,100379,28689.3381
43914,1003616,2466,2697,15,2466,100379,28689.3381
43915,1003616,2697,2466,17,2466,100379,28689.3381
43916,1003778,2466,2539,7,2466,47942,28689.3381
43917,1003778,2539,2466,9,2466,47942,28689.3381
43918,1004226,2466,2559,13,2466,50884,28689.3381
43919,1004298,2593,2466,15,2466,274773,28689.3381
43920,1004355,2525,2466,15,2466,103890,28689.3381
43921,1004355,2466,2495,12,2466,103890,28689.3381
43922,1004706,2466,2717,9,2466,96657,28689.3381
43923,1004706,2717,2665,13,2466,96657,28689.3381
43924,1004706,2665,2548,13,2466,96657,28689.3381
43925,1004706,2548,2525,13,2466,96657,28689.3381
43926,1004706,2525,2466,13,2466,96657,28689.3381
43927,1004979,2466,2582,11,2466,284095,28689.3381
43928,1004979,2582,2466,14,2466,284095,28689.3381
43929,1005238,2466,2586,11,2466,9280,28689.3381
43930,1005238,2586,2829,12,2466,9280,28689.3381
43931,1005238,2829,2466,17,2466,9280,28689.3381
43932,1005487,2466,2596,14,2466,7069,28689.3381
43933,1005521,2704,2466,15,2466,303548,28689.3381
43934,1005528,2802,2466,17,2466,23284,28689.3381
43935,1005555,2525,2466,12,2466,235461,28689.3381
43936,1005555,2466,2471,13,2466,235461,28689.3381
43937,1005555,2471,2466,15,2466,235461,28689.3381
43938,1005608,2466,2806,9,2466,22177,28689.3381
43939,1005608,2806,2466,14,2466,22177,28689.3381
43940,1005608,2466,2557,13,2466,22177,28689.3381
43941,1005970,2466,2546,17,2466,12604,28689.3381
43942,1005970,2546,2466,18,2466,12604,28689.3381
43943,1010992,2466,2600,9,2466,11636,28689.3381
43944,1010992,2600,2466,11,2466,11636,28689.3381
43945,1013441,2466,2812,17,2466,4698,28689.3381
