,trip_id,person_id,household_id,primary_purpose,trip_num,outbound,trip_count,destination,origin,tour_id,purpose,destination_logsum,depart,trip_mode,mode_choice_logsum,atap,btap,path_set
8045,830813,2532,970,work,1,False,1,97866,95905,103851,home,,18.0,SHARED3FREE,1.0872490804266357,,,
8064,833061,2539,972,shopping,1,False,1,96410,98764,104132,home,,20.0,SHARED3FREE,1.386259604947205,,,
8192,845333,2577,988,escort,1,False,1,95909,99128,105666,home,,13.0,SHARED3FREE,0.4282456538270386,,,
8423,868424,2647,1018,othdiscr,4,False,4,96881,95012,108552,home,,16.0,SHARED3FREE,0.3763168860144952,,,
8820,914450,2787,1070,work,2,True,2,94947,95175,114306,work,,9.0,SHARED3FREE,1.3375916984814111,,,
8973,929866,2834,1090,work,2,True,2,177897,94223,116233,work,,9.0,SHARED3FREE,0.8787155132681517,,,
9044,937021,2856,1098,school,1,False,1,95431,98324,117127,home,,15.0,SHARED3FREE,1.078553431723236,,,
9112,942798,2874,1104,othdiscr,2,False,2,96061,99458,117849,home,,17.0,SHARED3FREE,-0.3788669886265159,,,
9155,947578,2888,1109,work,2,True,2,176058,97883,118447,work,,8.0,SHARED3FREE,1.2643724566211954,,,
9184,950421,2897,1113,othdiscr,1,False,1,99045,99203,118802,home,,21.0,SHARED3FREE,-0.2238830043562677,,,
9302,962021,2932,1126,work,1,False,1,97127,98543,120252,home,,16.0,SHARED3FREE,1.2258563935036857,,,
9893,1028597,3135,1202,work,1,False,1,95444,93805,128574,home,,16.0,SHARED3FREE,1.838267170147892,,,
9939,1032355,3147,1208,othmaint,3,True,3,96062,97629,129044,othmaint,,13.0,SHARED3FREE,0.3007014852166623,,,
10146,1055584,3218,1232,escort,4,False,4,97150,97136,131947,home,,14.0,SHARED3FREE,0.2466512339055554,,,
10201,1061002,3234,1239,school,2,True,2,98978,96640,132625,school,,8.0,SHARED3FREE,-2.184849136556518,,,
10598,1100821,3356,1286,eatout,1,False,1,96184,98325,137602,home,,14.0,SHARED3FREE,0.8852814450980185,,,
10665,1106285,3372,1293,shopping,1,False,1,97128,98354,138285,home,,17.0,SHARED3FREE,0.9313810917296382,,,
10832,1122983,3423,1312,othmaint,3,False,3,97433,96405,140372,home,,19.0,SHARED3FREE,1.5873164074097872,,,
10946,1135853,3462,1327,work,1,False,1,97432,99048,141981,home,,18.0,SHARED3FREE,1.2973060667409873,,,
10999,1140877,3478,1332,escort,1,False,1,97444,92540,142609,home,,18.0,SHARED3FREE,0.5058336934957331,,,
11352,1178773,3593,1379,shopping,1,False,1,99238,98803,147346,home,,15.0,SHARED3FREE,1.3241229909337409,,,
11383,1181725,3602,1383,shopping,1,False,3,96630,96412,147715,escort,16.863849203700113,14.0,SHARED3FREE,0.7894224258524982,,,
11478,1192533,3635,1394,univ,1,False,1,98296,97633,149066,home,,16.0,SHARED3FREE,1.2973979452601232,,,
11543,1198311,3653,1400,othdiscr,3,False,3,95193,98307,149788,home,,20.0,SHARED3FREE,-0.2743776615404611,,,
11590,1203157,3668,1404,eatout,1,False,1,97629,96383,150394,home,,20.0,SHARED3FREE,0.9950845044921798,,,
11815,1227693,3742,1433,work,1,False,1,99153,97150,153461,home,,21.0,SHARED3FREE,1.2580860396733229,,,
