FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
1315,18,970,Gateway,97,0, ,12198588.2139,15060.2478983
1316,895,161,South Sacramento,19,7,Sac_8,10262624.3555,14537.9626316
1317,774,134,Downtown,1,2,Sac_4,3435076.04492,7475.92927467
1318,1161,141,Land Park-Pocket-Meadowview,18,2,Sac_7,5370944.33203,10155.1152973
1319,605,171,Vineyard,20,8,Sac_9,30392413.5215,22282.9564946
1320,105,522,Davis,52,21,Yolo,11427715.5703,15256.5297877
1321,641,212,Galt,23,15,Sac_9,7074699.47168,11073.3116844
1322,1167,503,West Sacramento,50,23,Yolo,2719034.5957,6590.96552345
1323,684,144,Land Park-Pocket-Meadowview,18,3,Sac_7,20352271.9736,20038.582464
1324,812,134,Downtown,1,2,Sac_4,1719981.80957,5730.81967158
1325,518,152,East Sacramento,14,2,Sac_6,1987145.97266,7071.35135282
1326,673,142,Land Park-Pocket-Meadowview,18,3,Sac_7,14231201.5488,16660.909753
1327,523,152,East Sacramento,14,8,Sac_9,17898500.1357,21518.6940161
1328,47,503,West Sacramento,50,23,Yolo,12233358.2646,16225.6572653
1329,714,211,Galt,23,15,Sac_9,24204641.3359,19887.5382562
1330,603,171,Vineyard,20,7,Sac_9,14271295.6592,15966.6535355
1331,476,153,East Sacramento,14,2,Sac_6,6272715.82129,10734.5789654
1332,798,134,Downtown,1,2,Sac_4,2542321.3457,6654.80321569
1333,17,970,Gateway,97,0, ,4264894.93164,9476.28780529
1334,1146,222,Cosumnes,25,10,Sac_9,311574030.097,80138.196176
1335,15,970,Gateway,97,0, ,9802639.22266,12890.5066003
1336,101,522,Davis,52,21,Yolo,6410976.52148,10006.6995457
1337,768,136,Downtown,1,2,Sac_4,2524369.81543,6533.3461523
1338,1204,171,Vineyard,20,7,Sac_9,14016682.1572,15868.8402707
1339,107,523,Davis,52,21,Yolo,9304770.4668,27961.5250555
1340,50,503,West Sacramento,50,23,Yolo,8085352.19824,14940.9241626
1341,706,211,Galt,23,15,Sac_9,31700948.5059,24297.581658
1342,611,170,Vineyard,20,8,Sac_9,27535270.5479,20979.1070684
1343,1079,504,West Sacramento,50,23,Yolo,28117921.4248,27713.2648327
1344,64,504,West Sacramento,50,23,Yolo,46064067.1963,35015.4624936
1345,787,137,Downtown,1,2,Sac_4,4688925.14063,9053.46565517
1346,760,200,Delta,28,4,Sac_9,160610965.227,55694.121569
1347,1166,504,West Sacramento,50,23,Yolo,17508024.7139,21723.8636716
1348,581,123,Rancho Cordova West,16,8,Sac_9,23542274.4854,20169.4306633
1349,758,200,Delta,28,4,Sac_9,185327743.866,57086.2603637
1350,1173,504,West Sacramento,50,23,Yolo,17099707.1934,18218.4594427
1351,610,170,Vineyard,20,7,Sac_9,56111522.1445,31505.2906441
1352,809,136,Downtown,1,2,Sac_4,2113764.64258,6717.43085488
1353,99,522,Davis,52,21,Yolo,3719246.01367,8392.68585694
1354,470,151,East Sacramento,14,2,Sac_6,4569518.34473,9408.6607808
1355,63,504,West Sacramento,50,23,Yolo,59875359.2773,38346.3604706
1356,519,152,East Sacramento,14,2,Sac_6,6048164.91504,10458.1851019
1357,16,970,Gateway,97,0, ,10193161.7578,13075.5096785
1358,55,502,West Sacramento,50,23,Yolo,8140272.91699,14669.9129677
1359,662,141,Land Park-Pocket-Meadowview,18,2,Sac_7,10494429.8184,13903.8870472
1360,508,162,South Sacramento,19,7,Sac_8,28173470.3447,21883.4211844
1361,1183,502,West Sacramento,50,23,Yolo,28949120.3467,28031.3138892
1362,1174,153,East Sacramento,14,2,Sac_6,3193910.70996,7212.9773402
